stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,11.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,10.19,0,0,0,0,0,0,0,0,0
 10-12,0,4.44,0,0,0,0,0,0,0,0,23.31,9.41,0,0,6.42,0,0,0,0,0
 14-21,0,0.9,2.49,0,0,0,0,0.84,0,0,16.92,0,0,0,0.82,1.43,0.87,0,2.09,3.04
 24-34,0,0.68,3.76,2.2,0.75,0,0,0.75,0,0.61,16.1,0,0,0,0,3.17,0,0,1.53,6.58
 36-46,0,0,0,0,0,0,0,0,0.55,0.7,5.97,0,3.22,1,0,0,0,3.08,0,1.31
 48-58,0,0,0,0,1.79,0,0,2.77,0,0.59,18.29,0,0,0,0,1.42,0,0,0,1.16
 60-70,0,0,4.02,0,16.91,0,0,2.27,0,0,9.83,0,0,0,0,0,0,0,0,1.21
 72-82,0,0,0.56,0,2.9,0,0,1.57,0,0,6.15,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.99,0,0,0.61,0,0,1.82,0,0,0,0,1.24,0,0,0,2.19
 96-106,0,0,0,0,0,2.11,1.12,0,0,0,1.6,0,0,0,0,0,0,0,0,0
108-118,0,0,0.43,0,0,0,0,0,0,0,10.07,0,0,0,0,1.19,0,0,0,0
120,0,0,0,0,0,15.22,0,0,0,0,6.7,0,0,0,0,0,0,0,0,0
