stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,17.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.02,0,0,0,0,0,0,0,0,0,1.43,0,0,3.38,2.95,0,0,0,0,6.97,8.12,0,0,0,0,0
 24-34,0,1.33,0,0,0.61,15.33,0,0.67,1.15,0,0,0,3.67,0,0,25.09,20.82,9.16,0,0.76,0,2,18.8,6.55,0,0.98,0,0
 36-46,0,1.68,0.84,0,8.95,53.56,0,0,0,0,0,0,3.17,0,0,19.19,5.1,7.8,0,0.57,0,1.48,0,1.9,0,0,0,0
 48-58,0,1.51,0,0,9.55,52.46,6.67,3.01,0,0,0.92,0,2.93,1.96,1,28.05,26.72,9.05,0,0,0,1.92,0,4.52,0,0.99,0,2.5
 60-70,0,2.85,0,0,34.62,21.11,0,92.36,0,0,0,0,2.65,0,0,22.61,38.85,16.23,0,0,0,3.73,0,1.22,0,0,0,0
 72-82,0,0,0,0,21.77,19.92,0,176.25,0,0,0,0,9.04,0,0,9.64,31.18,26.73,0,0,0,2.4,0,1.11,0,0,0,0
 84-94,0,3.52,0.65,4.14,30.89,17.15,1.42,184.68,0,0,0,0,13.18,0,7.88,4.82,20.26,10.06,0,4.68,0,2.84,0,0,0,4.53,1.77,0
 96-106,0,0.95,0.58,11.27,45.94,14.26,2.64,167.68,0,0,0,10.72,13.32,0,0,1.81,26.93,48.67,5.6,1.06,0,2.69,0,1.3,1.05,0,1.26,0
108-118,0,0,0.5,0,22.34,17.46,0.74,216.58,0,0.76,0,1.74,14.62,0,3.86,6.95,21.01,30.72,0,1.79,0,5.18,0,0,0,0,0,0
120,0,2.94,0,3.92,56.18,14.87,0,213.42,0,0,0,3.5,0,0,0,3.34,39.26,23.47,0,4.35,1.12,0,0,0,0,0,0,0
