stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,14.29,151.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.74,107.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.89,0,0,9.22,0,0,0,0,0,0
 10-12,0,5.25,0,0,0,7.66,0,0,0,0,0,0,0,0,0,0,0,12.1,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,0,0.91,0,0.87,0,0,0,0,0,0,0,1.43,0,13.11,0,0,0,0,3.34,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0.74,0,7.38,0,2.26,0,0,4.3,0,0,2.81,0
 36-46,0,0,0,0,0.57,0,0.75,0,0,0,0,0,0,0,0,5.14,0.84,2.26,0,0.58,0,0,10.95,0,0,0,0
 48-58,0,0,0,0,0,0.67,0,4.79,0,0,0,0,0.39,0,0,2.29,0,3.19,1.2,0,0,0,1.61,0,0,0,0
 60-70,0,0,0.86,0,0,0.68,0,1.78,2.67,0,0,0,0,0,6.33,0.63,0.68,6.14,0,0.69,0,0,0,0.81,0,0,0
 72-82,0,0,1.21,0,0,1.3,0,4.35,7.54,0,1.27,0.5,0,0,0,0.95,0,1.25,0,0,0,0,0,0,0,0,0
 84-94,0,0,3.07,0,0,0,0,1.27,10.92,0,3.18,0,0,0,0,1.59,0,1.97,0,0,0,0,0,0,0,0,8.08
 96-106,0,0,0,0,0,0.84,0,0,9.05,0.73,3.6,2.17,0,1.99,0,7.81,0,2.02,0,1.22,0,2.63,0,0,2.57,0,0
108-118,0,0,3.95,0,1.01,0,0.59,3.38,9.67,0,4.18,9.39,0,0,2.11,12.11,0,2.43,7.02,5.79,0,0,0,0,0,0,3.02
120,0,0,0,0,7.84,0,0,0,9.76,0,0,0,0,0,0,4.56,0,15.8,0,3.06,0,0,0,0,0,0,0
