stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,363.61,11684.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.93,0,0,0,0,0,0,0,0
  5-6,207.84,3355.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.33,0,0,0,39.12,16.81,0,0,0,0,0,0,0,0
  7-9,3.35,0,0,0,0,0,0,25.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.43,8.27,0,0,44.6,19.93,6.03,0,0,0,0,0,0,0
 10-12,0,0,0,4.52,0,0,0,17.37,0,0,0,0,0,87.65,0,0,0,0,0,0,0,0,0,386.08,23.86,0,0,13.71,13.24,0,4.78,0,0,0,0,0,0
 14-21,0,0,3.88,9.62,75.3,0,0,0,0,1.64,0,0,3.45,15.04,0,12.24,0,0,0,0,0,0,0,11.34,0,3.47,69.76,0,16.88,0,43.98,0,0,0,0,0,0
 24-34,0,0,4.04,13.46,81.66,0,0,1.57,0,7.71,0,0,5.22,9.05,0.6,6.89,13.26,12.02,0,0,6.12,0,0,46.28,0,4.72,64.54,0,66.11,0,56.26,2,0,0,4.52,0,0
 36-46,0,0,0,1.56,58.31,0,0,0,0.85,13.38,3.07,0,6.95,6.77,0,11.62,9.72,17.26,0,1.47,11.93,0,3.34,68.84,0,8.21,32.03,0,130.83,0,47.92,0,0,0,1.05,0,4.22
 48-58,0,0,0,0.57,43.75,0,0,7.54,0,8.32,0.47,1.21,22.51,6.61,0,14.31,12.72,11.14,0,4.35,11.34,0,0,66.81,8.09,4.74,55.5,0,102.82,0,35.33,0.45,0,0,5.61,0,0
 60-70,0,0,2.62,0,67.45,0,2.15,7.82,0,12.54,0,0,47.47,5.24,0,13,3.63,17.6,0,12.99,7.88,0,0,42.3,0,12.26,35.62,0,86.45,0,18.29,0,2.51,0,0,0,0
 72-82,0,0,12.88,2.19,27.74,2.46,1.84,16.8,0,12.58,0.7,1.89,62.14,0,0.56,3.17,19.65,4.93,0,25.51,18.84,1.23,0,84.68,0,8.44,60.42,0,61.31,1.65,16.97,0.92,1.89,0,0,1.37,0
 84-94,0,0,15.81,0.61,55.96,0,9.61,24.05,0,7.39,0,2.69,83.11,0.6,0.69,11.39,25.89,7.74,0,37.56,13.01,0,0,42.89,0,9.89,66.16,0,175.79,0,31.44,17.27,7.22,0,0,0,0
 96-106,0,0,14.09,1.91,70.1,1.27,3.25,25.82,0,8.66,0,7.6,94.62,0,0.79,8.29,31.26,6.9,0,24.96,17.6,0,1.41,38.31,0,41.82,64.29,0,119.84,0,13.05,1.95,8.53,0,2.38,0,10.7
108-118,0,0,12.43,2.39,93.12,0,18.73,27.14,0.42,20.3,0,13.28,81.15,0,2.11,7.5,8.25,7.81,0.94,34.88,13.27,0,0.79,32.24,0.5,26.59,58.59,0,126.1,0,17.81,0,7.02,0,0,0,0
120,0,0,16.52,0,91.32,0,8.33,4.32,0,16.04,5.18,21.35,108.91,0,0,2.32,33.5,6.57,0,103.85,18.85,0,1.15,62.53,2.23,28.53,68.31,0,149.59,2.5,24.33,0,4.09,5.65,0,0,3.85
