stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.58,0,0,6.8,0,0,0,0,0,0
 14-21,0,0,1.19,0,0,0,0,0,0,0,0,4.37,15.77,0,0,0,0.81,7.5,0,1.53,0,0
 24-34,0,0.81,5.35,0,0,0,0,0,0,1.95,0,1.91,69.74,2.17,0,0,0,13.14,0,4.51,0,0
 36-46,0,0,6.9,0,0,3.54,0,0,0,6.92,0,0.72,101.72,0,0,0,0,40.82,0,5.12,0,3.86
 48-58,0,0,18.86,0,0.67,7.36,0,0,0,5.98,0,0.56,143.46,0,4.3,0,0,34.81,0,1.28,0,2.36
 60-70,0,0,103.37,0,0,9.8,0,0.58,0.93,18.85,0,0,120.05,0,0,0,0,18.12,0.88,0,0,5.85
 72-82,0,0,141.13,0,0,12.35,0.85,0.65,0,13.77,0,2.15,84.28,0,0,0,0,12.81,0,4.06,0,1.78
 84-94,0,0,23.46,0,0,11.99,0,0.88,0,23.51,6.25,0,80.44,0,0,0,0,6.13,4.46,1.96,0,0
 96-106,0,0,58.2,9.05,0,4.01,0,0,0,12.18,0,1.18,64.55,0,0,0,0,10.96,0,0.65,2.02,1.24
108-118,0,4.75,51.53,0,0,14.84,0,3.53,0,17.02,0,0,62.48,0,0.99,0,0,6.34,0,3.52,0,0.49
120,0,3.29,34.74,0,0,33.44,0,12.97,0,22.07,0,6.21,81.39,0,0,0,0,0,0,0,2.54,0
