stage,blastomeres,erythrocytes,eye,glial,immune,iridophores,lateral.line,mesenchyme,neural,paraxial.mesoderm,xanthophores
  3-4,163.44,0,0,0,0,0,0,0,0,0,0
  5-6,116.1,0,0,0,0,0,0,0,13.76,0,0
  7-9,0,0,7.15,0,0,0,0,0,20.26,3.95,0
 36-46,0,0,0,0,49.1,0,0,0,0,0,0
 48-58,0,0,1.9,0,20.29,0,0,0,0,0,0
 60-70,0,0,0,0,13.71,0,0,0,0,0,0
 72-82,0,0,5.24,1.25,158.27,0,0,1.19,9.34,0,1.14
 84-94,0,0,1.69,0,76.55,0,0,0,0,0,0
 96-106,0,0,0,0,91.66,0,8.9,0,1.56,0,0
108-118,0,2.14,0,0,65.93,3.66,0,1.73,0.67,0,0
120,0,7.49,0,0,23.16,0,0,0,7.8,0,0
