stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,11.97,15.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.34,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.27,0,0,0,7.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.58,0,0,0,0,0,0,4.37,0,0,0,0,0,0,0
 14-21,0,0,0,0,181.59,0,0,1.68,0,0,0,15.21,0,0,0,0,0,0,0,0,0,0.82,0,0,0,525.64,0,0,25.61,0,0,3.31,0,0,85.08,0,0,0,0,0
 24-34,0,0,0,1.41,268.45,0,0,21.34,0,15.22,0,202.72,0,0,0,0,0.66,0,2.17,0,0,6.14,6.43,0,15.49,2250.45,12.14,2.84,58.22,0,0,25.16,0,0,609.47,0,0,3.67,0,10.52
 36-46,0,0,0,0,202.96,0,0,9.77,0,24.99,0,758.2,0,0,0.63,0,0,0,4.59,0,7.33,14.37,5.9,0,0.59,1770.71,0.94,0.81,36.75,0,0,44.79,0,0,702.36,0,0,2,0,3.2
 48-58,0,0,0,0,146.44,0,0,75.16,1.02,44.18,0.99,1292.05,0,2.08,7.92,0.4,0.59,3.3,24.07,0,0,22.08,0.82,0.44,2.45,746.63,0,3.66,21.53,0,0,43.7,0,0,639.71,0,0,0,0,2.58
 60-70,0,0,0,0,150.75,0.78,0,36.21,0,87.52,0,1316.96,1.64,0,5.89,0,0.61,0,18.29,0,0,19.44,0,5.57,0.68,213.85,0,0.58,6.7,0,1.44,55.18,0,0,219.87,0,0,0.86,0,0
 72-82,0,0,0.98,0,135.06,5.68,0,85.94,0,70.4,0,1594.6,0.63,0,11.89,0,1.13,0,34.02,0,6.34,46.02,3.76,0.51,2.38,258.54,0,0,24.77,0,9.43,70.46,0,0,74.94,0.87,0,1.97,0.57,0
 84-94,0,0,0,0,208.43,0.57,0,67.47,0,110.33,0,1265.38,1.57,0,2.58,0,6.77,0,31.88,0,0,27.41,4.24,0,4.74,203.66,0,0,44.79,0,0,191.87,0,0,108.92,0.85,0,0,0.75,0
 96-106,0,0,0,1.03,281.48,21.07,5.41,101.69,0,118.86,0,1071.57,5,0,5.31,0.87,5.09,0,47.36,2.98,0,65.18,14.93,15.57,10.37,186.41,0,8.75,56.66,0,6.54,340.89,0,0.62,85.93,0,1.88,5.85,0,0
108-118,0,0,0,2.9,293.83,0,3.28,30.31,0,160.42,0.46,1298,3.41,0,4.07,0,7.69,1.01,32.99,9.68,2.16,53.64,7.33,19.88,0,288.91,0,0.47,47.24,0,8.87,310.02,1.27,0,65.55,2.96,2.27,0.82,0,4.21
120,0,0,0,0,365.11,0,0,45.6,0,81.52,0,1364.22,3.07,0,6.06,14.62,9.32,0,17.14,5.02,0,21.27,3.43,9,6.38,334.34,0,0,98.14,0,0,241.31,2.61,0,23.74,2.24,0,1.89,0,0
