stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,immune,ionocyte,liver,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,57.29,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.99,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.33,7.89,0,0
 14-21,0,1.13,0,0,0,0,0.83,0.97,0,0,0,0,0
 24-34,0,1.43,0,0,0,0,0,0,0,1.47,0,0,1.02
 36-46,0,0,0,0,0,0,0,0,0,2.65,0,0,0
 48-58,0,0.79,0,0,0,0,0,0,2.6,0.81,0,0,6.1
 60-70,0,0.91,0,28.46,0,0,0,0,0.92,1.2,0,0,0
 72-82,0,0.5,0,32.57,2.09,0,0,0,2.06,0.62,0,0,0
 84-94,0,0.64,3.02,52.31,0,0,0,0,0,0,0,0,0
 96-106,0,0.93,0,86.07,0.81,0,0,0,0,4.45,0,1.38,0
108-118,0,1,1.1,102.27,0.71,0.78,0,0,0,3.7,0,0,0
120,0,3.52,0,107.06,3.99,0,0,0,0,0,0,0,0
