stage,axial,epidermis,erythrocytes,eye,glial,heart,mesenchyme,neural,olfactory,otic,periderm,spinal.cord,vasculature
  7-9,3.58,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.23,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,5.75,0,2.91,0.67,0.89,0
 36-46,0,0,0,0,0,0,0,19.04,0,0,0,11.66,0
 48-58,0,0,0,1.92,0,1.45,0,10.82,0.56,0,0,0.66,0
 60-70,0,0,0,2.31,0.87,0,0,20.09,0,1.26,0,0,0
 72-82,0,0.81,3.35,6.97,0,0,2.12,6,0,0,0,0,0
 84-94,0,0,0.57,1.46,0,0,0,3.15,0,0,0,0,0
 96-106,0,0,12.58,0.56,1.05,0,3.3,4.51,0,0,0,0,0.71
108-118,0,0,1.25,3.96,0,0,6.78,2.5,0,0,0,0,0
120,0,0,6.12,8.28,0,0,0,10.32,0,0,0,0,0
