stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,386.27,4820.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,210.77,3188.2,0,0,0,0,0,0,0,0,0,0,0,26.11,0,0,0,0,0,0,0,0,0,0,0,94.94,15.57,0,0,52.63,42.38,0,0,0,0,0,0,0,0,0,0,0
  7-9,41.82,29.89,0,34.22,0,0,0,68.81,0,0,0,0,0,49.89,0,0,0,0,0,0,0,0,0,0,0,689.99,91.93,0,0,276.5,4.35,15.05,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,45.08,0,11.83,0,29.01,0,0,0,0,0,43.93,0,0,0,0,0,5.32,0,0,0,0,0,565.97,43.27,0,0,135.87,8.48,26.78,0,26.62,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.56,13.8,4.04,0,2.79,0,0.82,0,0,2.1,3.69,0,0,0,0,0,0,0.86,10.97,0.95,0,5.83,59.97,1.79,0.98,0,1,5.06,0,4.28,1.74,0,5.36,20.55,0,0,0,0,0
 24-34,0,0,0,0,11.75,2.65,0,24.43,0,0,0,2.84,0,0,0,0.64,0.65,0,0,1.53,0.66,6.9,0,0,6.32,146.08,2.74,8.46,0.88,0,30.29,0,0,1.04,0,2.25,41.73,0,0,16.63,0,2.64
 36-46,0,0,1.03,0,24.95,1.78,0,17.13,0,5.89,0.88,0.68,0,0,0,7.8,0,0,0,0,3.17,25.17,0,0,5.67,182.43,2.72,2.38,0.65,0,45.17,0,0,6.8,0,0,21.9,0,0,0.74,0,0
 48-58,0,0,0,0,14.84,0,0,74.31,0.54,6.66,0.43,5.7,0,0,1.38,0,3.71,2.21,2.62,0,1.85,26.98,1.85,0.79,2.38,167.98,1.22,3.63,4.19,0,14.27,0,0,1.07,0,0,28.66,0,0,1.21,0,2.41
 60-70,0,0,0,0,9.94,0,0,142.32,0,2.35,19.08,14.23,0,0,0,0.72,0,3.63,1.57,2.6,2.79,15.07,0.62,0,14.59,154.27,2.06,5.45,0,0,28.03,0,0,7.09,1.33,0,15.61,0,0,2.27,0,3.81
 72-82,0,0,0,0,6.57,3.95,1.66,116.63,0.55,4.01,0.62,7.75,0.84,0,1.82,1.42,1.07,3.06,4.54,0.62,0,36.45,0.88,1.21,5.49,124.67,0.52,2.42,5.19,0,18.85,0,0,0.49,0,0,14.23,0.74,0,16.68,1.25,7.96
 84-94,0,0,0,0,8.39,29.01,13.58,83.74,0,5.47,1.43,22.51,3.34,0,1.01,1.16,2.51,0,0,0,0,64.39,0,1.94,0,118.03,2.13,1.11,0,0,36.42,0,0,0.74,0,0,6.61,0.61,0,7.72,3.02,6.55
 96-106,0,0,1.87,0,18.18,27.56,10.78,47.36,1.05,2.14,0,24.09,2.14,0,0,5.97,2.08,2.85,0,0,0.67,18.64,4.04,0,4.43,65.78,0,0,4.72,0,23.29,0,0,0,0,0,0.63,0.99,0,10.16,3.43,0
108-118,0,0,0,0,11.95,6.77,45.46,60.84,0,1.14,0,7.78,4.03,0,0,5.02,2.09,2.64,0,1.24,0.61,39.01,6.27,3.6,0.52,102.03,0.51,2.4,6.54,0,18.5,0,0,1.34,0.76,0,2.21,0,0,9.08,1.93,1.22
120,0,0,2.94,0,31.33,16.28,17.74,37.85,0,0,0,4.81,4.49,0,0,9.33,5.69,0,2.86,0,3.24,48.37,0,0,0,194.07,5.2,9.01,0,0,32.52,0,0,0,0,0,2.98,1.99,7.08,7.6,10.7,0
