stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,gut,liver,mesenchyme,mucous,neural,periderm,spinal.cord
  5-6,7.5,0,0,0,0,0,0,0,0,15.91,0,0
  7-9,0,0,65.32,0,0,0,0,0,0,42.51,0,0
 10-12,0,0,33.6,0,0,0,0,0,0,11.77,0,0
 14-21,0,0,0,0,0,0,8.01,0,0,0,0,0
 24-34,0,0,0,0,0,0,19.47,0,0,0,0,0.97
 36-46,0,0,0,0,0,0,14.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.6,0,0,0.79,0,0
 60-70,0,0,0,0,0,0.98,1.19,0,0,0,0,0
 72-82,0,0.97,0,0,0,3.87,0.54,0,0,2.67,0,0
 84-94,0,0.81,0,0,0,0,1.26,0,0,0,0,0
 96-106,0,3.9,0,0,1.13,21.06,7.11,0,3.31,6.33,2.03,0
108-118,0,0,0,0.51,0.92,48.21,19.79,2.51,0,8.37,0.8,0
120,0,0,0,7.05,0,68.64,13.22,0,0,18.76,0,0
