stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.39,226.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.73,0,0,0,0,0,0
  5-6,22.86,88.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,0,0,0,0,0,0
  7-9,0,0,0,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.47,0,0,5.11,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.15,0,0,0,5.77,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,2.26,0,0,0,0,0,0,0,2.66,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.33,0,0,1.32,0,0,0,0,42.89,0,0,0,0
 36-46,0,0,0,0,0,0,0.58,0,2.71,0,0,1.67,0,0,173.02,0,0,0,0,7.92,0,0,36.98,0,0,0,0
 48-58,0,0,0,0,6.08,0,55.39,0,2.98,0,0,1.73,0,0.41,408.81,0,0,0,0,0,0,0,54.83,0,0,0,0
 60-70,0,0,0,0,0,0,147.43,1.48,20.33,0,0,0,0,0,569.51,0,0,0,0,0,3.33,0,104.25,0,0,0,3.46
 72-82,0,0,0.54,0,0,0,273.92,0,23.77,0,0,2.65,0,0,742.49,0,0,0,0,0,0,0,80.4,0,0,0.96,0
 84-94,0,0,0,0,0.57,0,215.77,0,37.2,0,0,14.3,0,0,561.14,0,2.7,0,0,0,1.96,0,57.95,0,0.97,0,0
 96-106,0,0,0,0,1.22,1.66,191.05,0,24.79,0,0.7,2.45,3.31,0,381.05,0,0,0,0,0.97,1.81,0,24.4,0,0,0,0
108-118,0,0,0,0,1.21,0,206.22,0,41.9,0.51,0,14.22,0,0,448.04,0.46,0,0,0,0,0,0,27.42,1.13,0,0,0
120,0,0,0,0,1.24,0,310.52,0,111.25,0,0,16.75,0,0,1209.93,0,3.36,0,0,0,1.06,0,48.91,0,0,0,0
