stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,42.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.63,4.64,0,0,11.54,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.13,14.34,6.89,0,1.03,0,1.07,0,0,0,0,0,15.02,4.56,0,0,0,0,2.97,0,0,1.28,8.89,1.17,0,0,0,0,0,2.22,0,3.54,8.96,0,0,0,0,0
 24-34,0,0,0.71,0,1.44,4.99,0,1.44,0,0.8,0,0.84,0.67,0,0,2.94,3.83,0,0,0.86,0,11.95,0.7,0,9.94,33.38,0,0,0,0,0,0,0,0,0,14.74,0,0,5.69,0,0
 36-46,0,0,0,0,0.66,0,0,1.47,0,0,0.77,3.02,0,14.35,1.2,4.97,5.17,0,0,0,0,34.02,0,0,9.03,54.83,1.09,0.89,0,0,0,0.6,0,0,0,10.66,0,0,5.41,0,0
 48-58,0,0,0,0,0.51,0.65,0,6.9,0,0,0.57,4.06,0,56.13,0,7.93,0.49,0,0,0,0.56,21.76,0,0.75,4.16,14.06,0,0,0,0,0,0,0,0,0,2.92,0,0,5.53,0,4.75
 60-70,0,0,1.79,0,4.7,2.58,0,6.78,2.76,0,5.03,15.9,0,32.78,1.96,2.48,9.48,0,2.04,0,0.93,123.02,1.27,2.08,15.06,10.19,0,2.27,0,0,1.13,0.65,0,1.54,0,8.24,0,6.57,11.32,0,12.23
 72-82,0,0,0,0,5.21,67.03,0,38.25,18.07,1.27,10.41,22.81,0,5.22,4.08,4.14,5.38,0,0.6,1,0,177.18,1.57,3.45,15.1,38.54,0,1.33,2.15,0,1.03,0.58,3.32,1.63,0,14.31,2.3,6.34,18.16,2.44,16.86
 84-94,0,0,1.43,0,13.68,71.21,0,51.12,19,6.72,11.2,10.14,1.98,8.79,3.48,11.28,14.33,22.39,1.54,6.14,2.5,132.49,0,6.87,13.74,19.15,0.57,0,4.09,0,2.93,2.87,14.8,5.42,0,0,0,3.68,33.33,1.25,16.86
 96-106,0,0,1.67,0,88.72,188.46,9.51,99.5,164.96,20.42,37.61,67.75,8.72,3.18,7.73,19.34,20.04,6.83,11.73,60.99,5.21,497.43,9.25,18.99,27.81,116.4,12.15,9.22,11.63,0,8.7,52.27,29.9,15.69,0,20.92,0,7.97,38.39,6.55,21.87
108-118,0,0,6.94,1.92,295.6,97.22,140.11,196.3,374.63,152.41,44.65,132.9,16.53,0,12.05,66.38,83.06,113.61,9.82,424.9,20.22,851.96,11.25,16.61,114.79,237.95,34.62,9.36,16.69,8.11,10.24,93.12,115.73,64.49,0,13.84,6.26,9.73,114.62,21.63,63.87
120,0,0,0,1.66,319.53,107.85,14.86,122.4,207.5,66.08,58.58,124.95,15.61,0,10.28,134.15,18.05,49.2,6.56,107.64,0,769.69,47.39,39.72,71.24,271.73,31.77,1.42,15.38,0,32.57,168.07,36.89,54.67,0,0,2.35,19.66,84.73,36.88,47.16
