stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,48.21,733.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,66.88,668.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,0,0,0,15.94,0,0,0,0,0,0,0,0
  7-9,3.63,15.16,12.84,0,0,32.61,0,0,0,4.4,0,0,0,0,0,0,318.54,4.23,0,0,31.58,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,31.15,0,0,0,0,0,0,0,0,0,0,174.16,0,0,0,32.13,0,0,16.32,0,0,0,0,0
 14-21,0,0,1.23,3.22,0.95,5.66,0,2.21,0,0,13.86,0,0,11.75,0,6.6,57.24,1.55,0,0,0,3.96,7.11,0,3.16,1.91,11.7,0,0
 24-34,0,0,0,4.88,0,10.46,0,4.61,0,0,8.68,0,0.78,24.87,0,0,228.08,0.97,0,1.16,0,1.35,0,0,13.69,0.81,57.81,2.4,0
 36-46,0,0,0,2.19,0,48.17,0,5.8,0,0,8.51,0,0,6.31,0.7,0,122.2,10.3,0.89,0,0,0,0,0,66.62,0,44.44,0,0
 48-58,0,0,0,3.73,0,56.74,0,8.51,0,0,8.56,0,0,8.12,1.17,9.83,105.19,0,0,0.48,0,2.13,0,0,25.98,0,8,0.56,0.53
 60-70,0,0,0,3.08,0,31.98,0.94,1.52,0,0,16.04,0,0,2.64,0,0,35.35,1.83,0,0,0,0.68,0,0,11.34,0,1.17,0,0
 72-82,0,0,0,2.13,0,5.28,0.76,1.03,0,0,2.95,0,0,4.95,0,0.52,8.7,0,0,0,0,0.69,0,0,1.73,0,1.28,0,3.65
 84-94,0,0,0.78,2.84,0,12.14,1.98,4.58,0,0,2.38,0,0,0.88,4.83,0,45.82,0,0,0,0,0,0,0,4.21,0,0,5.56,0
 96-106,0,0,0,0.94,0,10.89,2.75,2.75,1.18,0,0.73,0,0,2.53,0,0,7.33,0,5.72,0,1.2,2.41,0,0,8.82,0,0,1.49,0
108-118,0,0,0,0,0,2.36,8.24,1.92,0,0,1.03,1.33,0,0.69,0,1.32,7.18,0,0,0,0,0.83,0,0,3.68,0,0.95,0,0
120,0,0,0,0,2.63,20.64,0,3.21,0,0,1.85,0,0,3.44,0,0,17.82,0,0,0,0,0,0,0,0,0,0,0,0
