stage,epidermis,eye,fin_epithelia,glial,gut,heart,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,periderm,pronephros,slow_muscle,spinal_cord,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,20.87,0,0,0,0,0,0,0
 14-21,1.84,0,0,0,0,53.41,0,31.57,0,0,7.01,3.31,1.62,0,0,0,0,0.94,0
 24-34,2.2,0,0,0,0,355.97,0.86,2.7,0,0,3.63,23.7,0.7,0,0,0,0,0,0
 36-46,2.44,0,0,0,0,160.94,0,0.67,2.02,0,0,42.86,0,0,2.9,0,0.86,3.01,0
 48-58,4.63,0.48,0.81,1.48,0,133.92,0,0.63,0,0.6,0,8.8,0,0,7.15,0.38,0,1.46,0
 60-70,3.91,5.57,0,0,0,145.57,0,0,0,0,0,14.44,0,1.33,1.32,0,0,0,0
 72-82,0,0.74,0,0,1.27,7.53,8.71,0,0,0,0,4.3,0,0,0.58,0,0,4.37,0
 84-94,5.32,7.72,0,0,0.57,76.29,0,0.86,0,0,0,0,0,0,0,0,0,0,0
 96-106,1.7,0,0,2.36,0,0.62,0,1.9,0,0,0,8.19,0,0.97,1.71,0,1.02,5.69,0.69
108-118,9.78,5.46,0.5,1.15,4.32,59.52,0,0,0,0,0,0,0,0,1.16,0,0,0,0
120,3.87,0,0,0,1.94,0,0,0,0,0,0,88.63,0,0,0,3.93,0,0,0
