stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,43.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.2,0,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,178.99,0,0,0,38.81,0,29.43,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,502.21,2.3,0.86,0,11.03,0,0,1.08,12.23,0,0,3.97,0,0,1.04,2.14,0,0.84,25.5,0,0,0,1.68,0,479.71,1.53,1.49,1.13,0,3.58,5.94,0,0,0,0,0
 24-34,0,0,1.33,0.81,473.07,0.66,4.93,0,43.66,0,1.87,1.35,14.71,2.56,0,4.54,0,0,8.13,6.54,0,11.4,82.73,1,2.15,0,0,0,739.28,0,0,5.33,1.16,1.73,11.86,0,0,3.27,0,0
 36-46,0,0,0,0,207.73,0,9.42,0,40.33,0.84,0,3.8,0,0,0,3.2,0,0.85,19.93,1.31,0,6.77,108.21,0.55,3.22,2.82,0,0.77,522.98,0,0,2.56,0,0,11.86,0,0,0,0,0
 48-58,0,0,0,0,199.95,2.22,18.71,0,46.03,0.89,4.17,1.01,8.58,0.4,0,0,1,11.42,21.59,1.25,0.45,1,102.81,0,0.44,7.18,0,0,282.31,0,0,7.99,0,0,0.83,0,0,0.51,0,4.41
 60-70,0,0,0.89,0,180.5,0,44.71,0,33.58,1.21,5.42,3.71,10.95,0,0,0.99,4.13,2.25,13.57,2.1,1.12,1.01,160.55,0,1.22,5.04,0,1.93,185.53,0,0,0,0,0,12.36,2.43,1.42,0,0,0
 72-82,0,0,3.06,0,113.15,1.23,138.75,0,34.39,0.59,18.55,4.67,2.58,0,0,0.85,9.4,2.65,19.49,1.5,2.91,0,295.08,0,4.74,6.47,0,0,72.59,0,0,1.66,0,0,7.96,10.47,4.86,0,2.37,3.43
 84-94,1.23,0,4.16,0,206.57,0.93,67.93,0.56,67.52,0,14.24,15.15,3.84,0,0,0.64,4.57,3.54,19.46,0.91,2.25,3.82,199.79,0,5.96,0,0,2.65,253.71,0,0,6.98,1.43,0,8.12,41.85,10.05,0,0,0
 96-106,0,0,3.5,0,205.76,1,117.78,0.57,29.27,0,14.19,15.97,0,0,0.91,3.17,17.79,10.83,26.54,4.37,0,1.42,203.73,0,12.85,2.57,0,0.81,224.99,0,0,6.02,0,0,0.78,74.07,0,4.27,2.56,9.11
108-118,0,0,0.79,0,254.1,0,103.59,0,49.24,2.02,16.99,15.07,0,0,3.4,2.97,3.31,5.61,64.84,5.27,0.94,0,232.11,0,6.05,2.39,0,0,149.97,0,0,5.37,0.68,0,7.02,89.39,0,0,0,0
120,0,0,8.41,0,211.13,0,230.9,0,47.19,0,14.43,19.08,0,0,1.38,2.19,3.78,12.29,38.78,1.72,10.15,0,561.47,0,10.58,0,0,6.17,88.46,0,0,3.04,0,0,7.91,52.95,1.52,0,0,0
