stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.19,143.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.69,59.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,63.72,4.58,0,0,54.31,0,0,0,9.82,0,0,0,0,0,0,0
 10-12,0,9.05,0,0,0,6.32,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,67.46,8.03,0,0,75.36,0,0,0,3.51,0,11.22,0,0,0,0,0
 14-21,0,0,3.31,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,0,67.74,14.96,261.33,0.95,0,0,0,0,5.4,0,1434.99,751.54,1.89,0,1.23,0,0
 24-34,0,0,0,1.77,3.77,6.35,33.42,0,0,1.45,0,0,10.1,0,0.63,0,0,1.98,0,53.14,41.74,15.31,0,0,0,0,2.35,0,0,298.52,92.56,6.04,0,5.86,0,0
 36-46,0,0,0,4.74,0,1.38,33.5,0,0,0.9,0,0,11.99,0,0,0,0,8.61,0.71,10.1,37.95,6.27,1.92,0,0,0,0,0,0,219.3,4.24,4.3,0,0,0,7.57
 48-58,0,0,0,0,0,2.99,32.69,0,0,0,0,0,12.85,0,0,0,0,2.19,0,16.73,24.33,12.59,0,0,0,0,0,0,0,73,0,0.93,0.37,0,0,0
 60-70,0,0,0,0,0,14.81,74.03,0,0,3.24,0,0,11.06,0,0,0,0,0.72,0,20.22,74.32,22.16,0,0,0,0,0,1.38,0,57.62,0,0,6.13,0,4.89,0
 72-82,0,0,0,0,6.72,4.84,75.54,1.07,0.94,0.85,0,0,2.11,0.59,0,0,0,7.03,1.58,12.91,18.91,0,0,0,0,0.71,0,0,0,15.55,0,0,8.43,2.87,27.25,0
 84-94,0,0,0,0,0,7.03,148.63,0,0,0,1.04,0,2.08,0,0,0,0,3.84,3.17,20.7,6.02,0,0,0,0,0,3.57,0,0,26.64,0,1.28,8.01,5.56,49.09,0
 96-106,0,0,0,1.16,10.16,50.86,200.06,0,0,5.36,0,0,8.7,0,0.74,1.11,0.65,6.28,1.86,28.27,44.83,2.49,0.7,1.17,10.66,1.77,4.19,0,0,35.78,0,3.31,7.06,0,121.83,13.74
108-118,0,0,0,0.62,0,6.81,191.02,0,0.74,3.04,0,0,15.7,0,0,0,0,11.21,1.04,24.67,26.39,6.17,1.5,0,0,2.38,0.65,0,0,25.15,0,0,12.39,0,60.4,0
120,0,0,0,0,0,0,202.91,0,0,18.35,0,0,1.85,0,0,0,0,2.02,0,18.93,37.96,0,0,0,0,0,0,0,0,29.39,0,0,43.72,0,181.14,0
