stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0
  5-6,38.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.07,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,3.43,0,0,14.33,124.99,0,0,0,0,0,0,0,0
 10-12,0,0,7.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.09,0,0,0,9.36,44.06,0,0,0,6.05,0,0,0,0
 14-21,0,8.06,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,2.84,0,0.83,5.2,0,1.74,0,1.98,183,1.32,0,0,2.78,0.84,0,0,0
 24-34,0,6.23,0,2.96,0,0,0,0,0.63,0.76,3.45,0,18.27,0,0,0,0,0,29.36,0,0,31.42,0,7.11,1.09,0,389.43,0,0,0,0,0.94,0,0,0
 36-46,0,5.77,0,0.96,0,2.27,0,0,0,0,0,0,1.26,0,0,0,0,1.56,19.16,0,0,26.29,0.66,21.75,0,0,610.34,0,1.34,0,0,1.91,0,1.99,0
 48-58,0,9.56,0,7.06,0,10,1.48,1.59,0,0,0,0,5.55,0,0.38,0,0,4.5,22.57,0,0.4,49.61,0,14.64,0,0,553.33,0,0,0,0,9.43,0,0,0
 60-70,0,5.17,0,5.07,0,7.71,0,1.18,0,0,0,0,5.96,0,0,0,0,0.62,15.31,0,0.61,26.02,0,12.05,0.82,0,513.78,0,0,0,0,0,1.22,0,0
 72-82,0,15.5,0,24.92,0,8.29,0.75,2.96,1.8,0,0,0,11.24,0,2.88,0,0,2.11,21.93,0,0,31.74,0,25.26,0,0,650.36,0,0,0,0,0.99,2.33,0,0
 84-94,0,16.56,5.69,5.97,0,20.02,1.3,0,4.82,0,0,0.59,10.78,0,0.67,10.67,0.99,0.93,45.48,0,0,24.46,0,20.63,0,0,1686.46,0,0,0,0,0,0.68,0,0
 96-106,0,70.31,3.61,16.19,0,28.74,0,1.54,23.48,0,0,0.65,29.59,0,0,5.25,0,7.18,40.04,0,2.77,56.47,0,36.98,0,0,1522.17,0,0,0,0,7.93,5.62,0,0
108-118,0,52.61,0.95,25.86,0.5,25.12,0,0,25.89,0,0,0.6,31.08,0.48,0,0,0,14.04,29.74,0.74,1.11,23.83,0,17.47,0,0,1489.63,0,0,0.55,0,0,12.94,0,2.22
120,0,55.03,0,0,0,17.55,0,11.45,27.2,0,0,0,18.83,0,0,0,0,0,31.48,0,0,13.35,0,1.29,0,0,722.37,0,4.05,0,0,0,3.38,0,0
