stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,7.58,64.08,24.01,54.11,0,0,4.48,1.9,3.83,1.23,0.82,4.72,0,0,0,0,53.53,0,0,22.34,467.92,4.22,3.04,4.13,8.01,8.15,0,32.58,0,14.65,86.83,0,2.15,0,1.14
 24-34,3.83,0.77,16.78,5.27,167.28,1.86,0,13.42,0,0,1.24,0,3.02,0,0.72,0,0,90.72,1.33,0,26.72,1176.03,0.87,10.14,7.74,0,7.66,0,0,0.65,3.42,204.6,0,14.5,0,4.62
 36-46,0,0,18.37,7.37,340.42,0,15.25,19.82,0.72,0,0.93,2.68,0,0,0,0,5.6,73.52,0,1.5,9.32,898.4,2.18,2.67,0.87,0,19.4,0,0,0,0,137.54,0,2.35,0,0
 48-58,0,0,30.63,4.25,490.73,0,6.76,21.37,2.88,0,0,2.19,4.86,15.05,0,0,0,59.49,0,11.04,12.84,561.39,3.26,2.5,6.95,0,3.8,0,0.92,0,0,49.6,0,2.75,0,0
 60-70,1.1,0,27.83,0.93,357.82,0,0,66.26,5.83,0,0,4.61,0,14.38,2.2,0,0,103.7,0,3.19,6.74,373.88,0,2.18,0,0,2.13,0,0,1.17,0,4.48,0,6.67,0,0
 72-82,0,0,10.19,4.11,85.4,0,1.05,17.57,0.63,0,0,1.01,0.84,0,0.68,0,0,37.28,0,2.55,4.9,118.07,0,0.67,2.13,0,0,0,0,0,0,2.35,0,3.98,0,0
 84-94,0.8,0,5.75,3.54,72.51,0,1.42,20.98,3.74,0,0,0.83,1.17,0.66,0,7.78,0,60.52,0,1.88,7.8,79.24,0,2.23,0.76,0,1.34,0,0,0,0,0,1.03,1.37,0.72,0
 96-106,0,0,7.16,0,42.21,0,0,6.09,0,0,0,1.31,0.61,0,0,0,0,17.97,0,0.68,3.14,46.2,0,0,0.62,0,5.51,0.76,0,0,0,0,0,1.46,0,0
108-118,0,0,1,7.35,68.42,0,0,12.98,4.9,0,0,1.24,1.55,0.41,0,0,0,14.18,0,0,3.31,112.99,0,0,3.27,0,1.04,0,0,1.12,0,0,0,0,0,0
120,0,0,4.44,11.13,140.39,0,3.94,21.74,2.11,0,0,1.69,0,0,0,3.84,0,25.79,0,0,7.01,233.23,4.81,0,8.55,0,1.35,0,0,0,0,0,0,9.62,0,0
