stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,126.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.5,57.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.38,0,0,0,6.85,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.75,0,0,0,0,0,4.35,0,0,0,1.07,0,0,10.78,0,0,0,0,0,0,2.15,0,12.77,0,0,0,1.76,0,0
 24-34,0,0,0,0.85,0.68,0,0,4.45,0,0,0,0,0,20.2,0,0,79.01,10.76,0,0,1.27,0,0,0,0,11.21,1.33,0,0,0,0,0
 36-46,0,0,0,0,1.64,10.34,0,12.42,0,0,0,0,0,51.87,0,0,63.06,15.68,0,0,4.14,0,0,3.29,0,0,2.41,0,0,0,0,0
 48-58,0,0,0,0,1.46,6.88,0,7.16,0,0,0,0,0,205.59,0,0.7,63.64,19.07,0,0,16.02,0,0,0,0,0,0.9,0,0,0.56,0,0
 60-70,0,0,0,0.79,7.46,3.41,0,6.7,8.53,0,0,0,1.2,364.92,0,0,44.58,15.1,0,0.7,3.95,0,5.78,0,0,0,0,0,0,3.97,0,0
 72-82,0,0,0,2.46,44.89,2.23,0,12.68,0,0,0.56,0,0,804.38,0,0,77.48,32.18,0.63,0,3.57,0,0,0,0,0,3.91,0,0,13.33,2.79,0
 84-94,0,0,0,7.28,33.16,2.07,0,12.09,3.25,0,0,0,1.81,589.63,0,8.1,42.36,13.13,0,0,3.22,0,0,0,0,0,0,0,1.37,16.34,2.31,0
 96-106,0,0,0,2.82,19.14,2.39,0,7.84,3.63,0,0,0,0,689.08,2.26,11.27,74.1,21.14,0,0,3.75,0,1.35,0,0,0,13.25,0,0,12.96,0,1.22
108-118,0,0,0.98,0.57,16.01,3.1,0.52,1,2.27,2.16,0,1.91,0,737.04,0,8.88,77.57,30.65,0.44,0,5.69,0,0,0,1.78,0,0,0,2.26,50.13,3.33,0
120,0,0,0,0,9.71,2.76,1.56,0,0,0,0,0,0,520.48,0,9.05,14.79,20.87,0,0,0,0,0,0,0,0,0,2.31,0,9.42,0,0
