stage,epidermis,eye,fin.epithelia,glial,immune,ionocyte,mesenchyme,mural.cell,neural,periderm,spinal.cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,10.51,0,0
 14-21,1.7,0,0,0,0,0,0,0,0,0,0,0
 24-34,1.39,0.76,0,0,0,0,0,0,0,6.54,0,0.69
 36-46,0,0,2.81,0,0.67,0,0,0,0.88,10.14,0,0
 48-58,0,1.59,0,0,0,0,0,0,4.47,3.95,0,0
 60-70,0.88,0,0,0,0,0,0,0,0.93,3.23,0,0
 72-82,0,0,0,0,0,0,1.24,0,4.61,6.94,1.89,0
 84-94,4.96,0,0.58,0,0,0,0,1.22,1.23,6.51,2.76,0.6
 96-106,0,0,0,3.11,0,0,0,0,0,3.19,0,0
108-118,5.46,0,1.25,0,0,0.71,3.38,0,2.31,15.62,0,0
120,13.2,0,1.19,0,0,0,0,0,0,5.21,0,0
