stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,77.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0
  5-6,10.91,84.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.18,0,0,0,31.79,0,0,6.03,0,0,0,0,0,0,0
 10-12,0,0,0,5.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.87,0,0,0,33,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.97,0,1.68,0,0,0,0,0,0,0,0,0,0.87,0,0,2.64,26.91,0,0,0,0,0,0,0,2.18,0,0.86,3.71,0,0,0
 24-34,0,0,0,0,3.4,0,7.45,0,0,0,0,2.02,0,0,1.13,1.6,10.08,0,0,0.79,26.37,0,3.02,0,0,0,1.45,0,0,0,1.27,3.94,0,0,0
 36-46,0,0,0,0,3.86,0,2.1,5.64,0,0.64,0.78,0,0,0,0,5.69,0,0,0,1.74,16.56,0,1.09,0,0,0,7.93,0,0,2.15,0,0.7,0,0,0
 48-58,0,0,0,0,0.37,0,2.99,0.38,0,2.41,1.63,0,0,0,2.08,2.6,2.74,0,0,0.86,11.09,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.59,0,10.98,0,0,0,6.85,6.2,0,1.66,0,0,7.73,0,0,0,36.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,5.56,0,0,0.77,7.89,5.02,3.21,0,4.91,1.14,13.05,0,0,0,32.08,0,1.43,0,0,0,1.59,0,0,0,0,3.98,0,0,6.29
 84-94,0,0,0,0,3.39,0,1.84,0,0,0,2.01,9.76,0,0,7.98,1.86,8.04,0.58,0,0.91,33.37,0,3.82,0,0,0,1.22,0,0,1.87,0,3.09,0,1.33,0
 96-106,0,0,1.06,0,0,0,26.46,0,0,0,8.28,16.49,0,0,12.5,0.77,11.88,0,0.93,0.76,31.92,0.57,0,1.53,0,0,1.89,0,0,2.64,0,6.34,0,0,0
108-118,0,0,0,0,0,0.69,8.18,0,0.45,6.14,8.68,18.44,0,0,14.24,1.17,23.14,0,0,3.37,25.08,0,1.31,1.22,0,0,0.93,0,0,5.32,0,0.89,1.17,0,0
120,0,0,0,0,2.64,0,2.2,0,0,0,3.38,23.44,0,0,0,0,5.93,0,0,0,42.15,0,0,0,0,0,0,0,0,5.76,0,0,1.41,0,0
