stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,immune,lateral.line,mesenchyme,mucous,muscle,neural,otic,periderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,2.32,0,0
 24-34,0.9,0,0,0,0,0,0,0,0.63,0.78,3.49,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,3.19,0,0,0,0,0,0
 48-58,0,0,0,3.25,0,0.49,0,0,0,0,9.2,0,0,0,0,4.61,0
 60-70,0,0.88,0,13.2,1.72,3.59,0,0,0,0,1.85,0,0,0,0,5.29,0
 72-82,0.5,0,1.16,8.37,0,41.32,1.53,0,0,0,3.95,0,2.51,0,0,13.84,0
 84-94,0,0,0.71,14.61,0,27.32,0,0,0,0,7.29,0,0,0,0,4.18,2.43
 96-106,0,0.73,0.79,6.16,1.5,53.86,0,4.27,0,0,6.4,0,0,0,0,6.61,0
108-118,1.08,0,1.36,5.98,0,56.34,0,2.01,0,1.24,1.54,0,0,0,0,3.21,0
120,0,0,0,17.41,3.65,89.67,0,0,0,0,6.59,1.02,0,0,0,8.56,0
