stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,500.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.93,0,0,0,0,0,0,0,0,0,0
  5-6,25.49,697.08,0,9.08,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,82.17,27.67,0,0,0,0,34.95,0,0,0,0,0,0,0,0,0,0
  7-9,34.05,28.66,0,13.65,0,0,0,58.09,0,0,0,0,0,33.16,0,0,0,0,0,0,0,0,0,0,0,590.34,51.57,0,0,200.85,0,5.34,3.79,0,0,0,0,0,0,0,0,0
 10-12,0,70.54,0,29.79,0,14.39,0,67.56,0,0,0,0,0,11.33,0,0,0,0,0,0,0,0,0,0,0,1016.82,11.57,0,0,229.64,0,6.22,5.55,0,0,0,3.24,5.32,0,0,0,0
 14-21,0,0,0,6.11,62.2,11.24,0,44.32,0,0,0,16.65,0,1.29,0,0,3.15,0,0,0,0,39.69,0,0,39.54,547.15,23.95,0.85,3.96,5.16,0,21.83,0,54.38,5.5,3.63,46.25,170.05,0,4.97,0,0
 24-34,0,0,0,4.33,7.98,5.66,0,70.26,0,0,2.97,9.48,0,0,0,1.04,0,0,7.97,0.65,0.98,50.77,0,0,22.14,485.39,0.6,2.91,1.99,0,0,17.67,0,0,0.65,0,3.63,88.19,0,6.22,0,3.21
 36-46,0,0,0,0,2.41,0,0,140.28,0,0,3.68,21.89,0,0,1.51,0,0,0,1.38,1.25,0,56.89,0,1.14,19.07,320.78,0,0.96,6.79,0,0,18.03,0,0,0,2.29,1.34,58.94,0,14.24,0,0
 48-58,0,0,0,0,21.66,4.42,0,162.13,0,0,0.91,30.86,2.29,0,1.47,9.09,0,0,1.24,2.15,1.91,57.32,0,0.86,11.54,187.18,0,1.66,0,0,0,21.38,0,0,0,0,2.82,34.74,0.51,2.94,0,4.46
 60-70,0,0,0,0,14.19,4.1,0,135.66,0,0,1.31,28.72,0.74,0,0,0,0,0,0,8.5,8.73,81.78,0,2.62,4.49,142.12,3.11,1.42,1.26,0,1.93,6.99,0,0,0,0,0,13.91,0,0.64,0,4.27
 72-82,0,0,0.88,0.75,6.23,3.47,0,60.87,0.79,0,16.25,25.08,0,0,0,1.62,2.33,0,0.49,1.05,0,90.1,0,1.19,14.73,90.35,0.88,1.04,0.76,0,1.12,4.4,0,0,0.57,0,0,13.52,0,2.36,0.71,0
 84-94,0,0,4.51,0,1.31,7.11,0,60.62,0,0,5.42,25.6,1.73,1.22,0,1.04,0,0,0.81,0.96,7.71,62.67,0,4.48,12.36,115.72,0,2.98,6.94,0,1.13,13.47,0,0,3.23,0,0,2.72,0,4.07,0.92,0
 96-106,0,0,0,0,2.61,16.87,0,35.92,0.93,0,5.48,9.18,0,0,1.87,1.02,0,0,0,10.29,0.57,67.99,0,1.14,4.94,78.53,1.25,1.27,5.2,0,0,2.45,0,0,2.48,0,0,4.01,0,0,1.24,0.86
108-118,0,0,0.71,0,10.09,10.71,0.46,53.36,0,0.87,8.47,28.44,0,0,0.47,1.97,0,1.79,0,4.33,0,128.8,0,3.89,12.49,150.14,0.59,2.81,2.23,0,0,9.52,0.42,0,1.16,0,0,0.69,0,8.26,1.59,5.63
120,0,0,3.64,1.28,11.36,12.51,0,70.43,1.1,0,34.79,34.58,1.42,0,12.12,8.63,0,0,0,10.33,0,125.16,1.15,7.23,12.22,236.53,1.17,8.23,1.4,0,0,8.31,0,0,0,0,0,15.4,0,7.42,1.8,0
