stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,glial,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pronephros,somites,spinal.cord
  5-6,15.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,10.86,0,0,0,1.12,2.85
 24-34,0,0,3.78,0,0,4.51,2.29,0,1.04,38.78,0,0,0,1.19,14.3
 36-46,0,0,10.05,1.45,0,1.93,0.95,0,0,60.49,1.48,0,0,0,14.19
 48-58,0,4.67,22.54,1.44,2.85,9.42,0,0,0,57.37,0,0,0,0,22.28
 60-70,0,0,21.33,0,0,5.64,0,6.11,0,44.01,0,0,0,0,1.18
 72-82,0,0,21.31,0,0,12.62,3.13,0,0,34.89,0,0,0,0,3.02
 84-94,0,2.1,0,0,4.74,1.86,0,0,0,22.79,0,0,0.64,0,0
 96-106,0,1.41,7.06,0,0,2.16,0.7,0,0,14.7,0,0,0,0,2.78
108-118,0,0,6.04,0,0,2.09,0,0,0.57,33.24,0,0,0,0,3.46
120,0,0,19.78,0,0,2.57,0,0,0,103.1,0,14.25,0,0,5.14
