stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,41.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.51,0,0,0,0,0,0,0,0,0,0,0,29.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,19.94,0,0,0,6.88,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,64.69,0,0,0,0,0,0,0.91,1.22,0.9,0,0,0
 24-34,0,0,0.62,0,3.07,0,0,0,0,0,2.39,0,0,114.56,0.63,1.59,0,0,0,0,0,1.2,2.39,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,4.26,185.86,0,1.69,0,0,0,0.66,0,2.16,4.09,0,0,0
 48-58,0,0,0,0,2.86,0.74,0,0,0,0,2.94,0,0.89,212.43,0,0,0,0,0,0,0,0,10.94,0,0,0
 60-70,0,0,0,0,8.1,0,8.16,0.7,0,0,4.36,0,0,231.87,0,0,0,0,0,0,0,0,39.52,0,0,0
 72-82,0,0,2.05,0,13.77,0,4.25,0,0,0.63,22.5,0,2.06,276.16,0,0,0.71,0,0,0,0,0,61.14,0,0,0
 84-94,0,0,0.9,0,11.5,1.43,2.96,0,0,0,7.6,0,0.95,164.3,0,0,2.27,0,0,0,0,0,11.48,1.31,0,0
 96-106,0,0,0,0.98,3.61,0,3.84,0,0,0,7.04,0,0,146.22,1.05,0,0,0,2.4,0,0,0,1.5,0,2.76,1.74
108-118,0,0,0,6.67,19.09,0,6.08,0.75,1.37,0.7,12.21,0,0,201.73,0,0,0.84,0,0,0.44,0,0,10.38,0,0,0.62
120,0,0,0,0,20.93,3.22,8.64,0,0,0,11.69,39.68,0,405.33,0,0,1.66,0,0,0,0,0,2.02,0,0,13.59
