stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,277.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0
  5-6,7.22,132.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,35.14,0,0,9.31,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74,0,0,0,0,0,0,0,0
 14-21,0,0,26.48,4.8,2.81,0,0,0,3.71,0,0,0,0,3.23,0,10.13,0,0,0,0,2.61,0
 24-34,0,0,12.8,2.12,0,1.07,0,0,3.72,0,7.59,0,1.73,20.78,0,30.23,0,0,0,0,4.85,0
 36-46,0,0,9.7,0,0,0,1.58,0,0.96,0,7.75,0,2.07,3.53,0.6,24.32,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,6.25,0,3.54,0,0.67,0.42,1.29,38.84,0,0,1.08,0,0,0
 60-70,0,0,0.63,4.71,0,0,0.65,0,21.57,0,1.54,1.53,0,3.75,0,58.59,0,0,0,0,0,0
 72-82,0,0,0,1.6,0,0,1.25,0,41.42,0,3.97,0,1.6,17.37,0,114.35,0,0,2.68,0,1.04,0
 84-94,0,0,3.33,0,0,0,0.67,0,32.72,2.5,3.59,0,0,5.45,2.27,192.6,0,0,0,0,0,0
 96-106,0,0,1.32,0,0.7,0,0,0.64,95.87,0,4.27,0.68,0,12.01,3.8,199.15,0,2.06,0,0,0,0
108-118,0,0,0,0,4.88,0,0,0,68.77,0,0.46,0,0,6.86,6.07,181.49,0,5.87,0,0.44,3.5,0.42
120,0,0,6.7,0,0,0,0,0,69.24,0,0,4.3,0,27.83,1.26,169.39,0,0,0,0,0,0
