stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,23.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.54,0,0,0,0,0,0,0,0,0,0
  5-6,0,101.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,406.63,0,0,0,0,0,0,0,0,0,0
  7-9,5.71,0,0,3.36,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.55,8.74,0,0,11.22,135.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.66,0,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.89,7.26,0,0,31.51,36.62,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,1.06,2.52,0,0,12.36,0,0,0,0,952.77,2.49,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.05,0.62,21.08,0,7.53,0,3.53,0,0,1.55,0,0,4.37,0,0,0,1.59,22.75,0,12.29,87.93,0.59,1.18,0,0,2618.18,0,0.76,0,0.88,9.63,0,0,5.65,0,5.52
 36-46,0,0,0,0,61.84,0,6.45,2.35,14.09,0,0.73,3.55,0,0,30.77,0,0,0,0,29.66,0,4.26,81.07,0,2.62,0,0,3243.37,0,0,0,0,10.73,0,0,0,0,1.26
 48-58,0,0,0,0,88.77,2.33,19.18,0,20.88,0,3.2,0.49,0,0,19.96,0,0,0,14.12,25.69,0,0,92.28,0,0,0,0,2220.88,0,0.43,0,0,25.77,0,0,0,0,9.02
 60-70,0,0,0,0,153.29,2.2,54.22,0,43.13,0.83,12.69,0,5.14,0,24.71,0,1.49,0,7.43,19.45,0,1.84,61.04,0,0,0,0,2999.81,0,0,0,0,12.18,2.13,0,1.08,0,0
 72-82,0,0,0,0,238.22,1.32,47.54,0,42.14,0,0,6.55,0,0,41.75,2.49,1.59,0,11.81,9.89,0,0,107.51,4.03,1.7,4.71,0,2454.02,0,1.77,0,0,9.1,5.54,0,1.34,4.14,3.01
 84-94,0,0,0,0,552.55,0,34.17,0,80.3,0,2.29,19.4,0,1.33,88.69,0,0,2.58,5.79,29.47,0,0,64.83,0,7.19,1.19,0,4440.26,0,6.38,0,0,5.28,25.08,1.98,0,1.2,0
 96-106,0,0,0,0,683.43,21.87,78.64,1.89,118.37,0,24.73,54.08,0,1.72,176.62,2.47,1.86,15.97,17.06,55.46,0,0,173.44,0,12.16,1.36,0,6302.61,0,0.9,1.41,0,3.92,32.19,0,6.56,1.26,1.22
108-118,0,0,0,0,652.18,6.9,45.67,1.21,124.17,0,10.03,79.08,0,2.74,157.37,0,0,0.97,16.19,59.24,2.51,1.35,85.37,0.55,9.05,0,0,3268.95,0,4.1,0,0,0,32.35,0,0.47,0,0
120,0,0,0,0,868.23,0,19.91,0,113.47,0,16.9,69.1,0,0,145.02,0,4.79,0,9.16,44.1,0,0,70.14,0,11.04,0,0,2001.43,0,1.56,0,0,0,15.58,0,7.03,0,0
