stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.55,0,0,0,0,0,0,0,0,0,0,0,21.64,0,0,0,0,0,0,0,0,0
 10-12,0,13.75,0,0,0,0,0,0,0,0,0,0,17.46,0,0,0,5.69,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,74.77,0,0,0,2.45,0,9.47,0,1.84,4.36,7.6,0,0
 24-34,0,0,0,4.35,0,0,0,0,4.09,97.62,0,0,1.63,0,0.71,31.17,0,0,4.51,1.62,0,0
 36-46,0,0,0.58,0,0,0,0,0,4.32,16.88,0,0,0,0,22.14,29.8,0,0,7.98,0.69,0,0
 48-58,0,0,2.29,0,2.01,0,0,0,12.86,0.82,1.05,0,1,0,16.01,36.93,0,0.38,0.87,0.89,0,0
 60-70,0,0,0,4.71,0,0.89,0,0,58.11,0,9.18,0,1.55,0,3.24,104.01,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.19,0.89,0,72.06,0,21.17,0,11.47,0,12.47,188.94,0,0,2.87,2.09,0,2.71
 84-94,0,0,1.57,0.55,0,0,0,0,88.21,0,23.89,0,6.52,0,38.45,349.28,0,0,4.62,0,0,0
 96-106,0,1.76,0.58,11.11,7.09,1.94,0,1.08,181.39,0,9.97,0,4.54,0,30.56,411.18,0,2.59,1.84,0,0,0
108-118,0,0,0,2.18,0.42,0.96,0,0,92.03,5,16.48,1.04,19.27,0,27.31,300.27,0,3.43,2.64,0,0,0
120,0,0,0,0,1.29,0,0,0,103.41,0,17.35,0,15.55,0,4.5,373.2,0,0,26.6,0,1.54,0
