stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.83,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,5.72,0,0,0,0,0,5.59,0,0,0.95,0,0,0,0,0,0,0,0,58.28,0,0,0,0,0,0,0,216.25,0,0,0,0,0
 24-34,6.37,0,56.68,0,0,0,2.21,0,0,0,0,0,0,0,0,0.71,0,0,120.29,0,2.07,7.79,0,0,0,0,372.88,0,0,0,0,0
 36-46,0,0,1047.51,0,0,0,1.43,0,0,0.64,0,0,0,0,0,0,0,0,388.43,0,1.09,10.4,0,0,0,6.12,440.83,0,0,0.76,0,0
 48-58,14.97,1.54,1539.6,3.39,0,3.29,36.71,0,0.52,0,0.37,10.36,1.27,0.39,0.71,7.38,3.05,15.39,623.9,0,0.83,11.52,0,0.46,0.57,0,342.91,0,0,0,0,0
 60-70,0,0,2711.48,0,14.48,0,9.65,0,1.17,0,0,0,0,0,0,6.2,0.59,0,681.99,0,0,7.98,0,2.31,0,0,355.17,0,0,1.24,0,0
 72-82,11.28,4.09,2666.03,0,0,6.03,23.34,0,0,0,0,0,0.79,0,0,15.06,0.68,0,330.6,0,1.29,15.83,0,0.79,0,0,176.89,0,0,1.01,0,0
 84-94,7.05,0.82,1711.06,0,0,4.53,52.33,0.66,0,0.93,0,0,2.04,0.83,0,26.45,0,0,261.86,9.41,2.26,25.7,0,0,0,0,135.04,0,1.25,0,2.45,2.61
 96-106,3.24,18.14,1813.32,0,2.42,0,29.92,0.83,2.19,0,0,5.85,7.13,0,0,14.56,1.06,0,152.68,0,0,28.47,0,4.58,0,0,42.88,0,0,0,1.78,0
108-118,0.44,0,1446.54,0,0,0,10.62,0,0,0,1.7,0.84,2.38,0,0,16.24,0,1.66,216.07,0,0.77,21.49,0,0,0,0,48.8,3.42,0,2.92,0,0
120,1.27,0,861.79,0,0,0,30.14,0,0,0,0,11.11,7.91,0,0,3.6,2.13,0,237.69,0,0,37.04,0,0,0,0,24.44,0,0,0,0,0
