stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,heart,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,visceral_smooth_muscle
  3-4,12.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.65,0,0,22.12,0,0,7.82,0,0,0,0,0,102.21,0,52.32,0,0,0,0,0,0
 10-12,0,7.61,0,0,0,0,0,0,0,0,0,0,11.87,0,29.04,0,0,6.49,0,0,0
 14-21,0,0,0,2.06,0,0,0,0,0,3.1,0,4.44,0.97,0,0,0,5.41,0,0,0.86,0
 24-34,0,0,0,0,0,0,0,3.2,0,18.08,0,1.68,1.33,1.54,0,0,0,0,0.64,3.43,0
 36-46,0,0,0.88,0,0.57,0,0,0,0,17.28,0,5.09,1.59,0.6,0,0,0,0,0,0.95,0
 48-58,0,0,0,0,0,0,0,0,0,1.91,0.89,0.73,7.7,1.27,0,0,0,0,0,0.44,0
 60-70,0,0,0,0,0,0,0,0,0,1.37,0,0,11.38,0,0,0,0,0,0,0.99,0
 72-82,0,0,0,0,1.73,0.57,0,0,0,0.76,0,0,2.71,0,0,0,0,0,0,0,0.64
 84-94,0,0,0,0,0,0,0,0,0.58,0.6,0,1.39,8.52,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.73,0,0,0,0,0,1.08,0,0,11.95,0,0,3.89,0,0,0,0,0
108-118,0,0,0,1.51,0,0,0,0,0,0,0,0,9.91,0,0,0,0,0,0,0,0
120,0,0,0,14.02,2.48,0,0,0,0,1.08,0,0,7.78,0,0,0,0,0,0,0,0
