stage,axial,blastomeres,epidermis,eye,glial,heart,immune,iridophores,mesenchyme,muscle,neural,periderm,somites,spinal.cord
  3-4,24.05,10.55,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.06,0,0,0,0,0,0,0,0,21.65,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39
 24-34,0,0,0,0,0,0,0,0,0.78,0,7.01,0,0.68,0
 36-46,0,0,1.44,0,0,0,16.36,0,0,1.02,6.26,0,0,1.33
 48-58,0,0,0,0.44,0,0,1.8,0,0.44,0,6.42,0,0,3.99
 60-70,0,0,0,2.53,1.07,0,2.76,0,1.2,0,20.43,0,0,0
 72-82,0,0,0,2.69,0,0,4.13,0,0.63,0,18.34,0,0,0
 84-94,0,0,0,2.93,2.24,1.12,21.29,0,1.17,0,5.25,0,0,0
 96-106,0,0,0,3.64,1.97,0,5.31,1.02,1.33,0,28.66,0,0,0
108-118,0,0,0,0,0,0,10.46,0,0,0,7.82,0,0,0
120,0,0,0,2.4,4.13,0,6.04,0,0,5.02,5.62,3.57,0,0
