stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,12.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.6,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3527.8,7.84,0,0,89.34,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.77,13939.58,1.82,0,20.68,0,82.3,0,0,13.14,16.6,0,0,56.69,0,0,0,0,12.66,51.72,0,1.8,97.01,6.22,4.01,0,0,0,14.97,0,12.01,3.3,3.47,0.94,12.6,0,0,1.09,0,1.19
 24-34,0,1.54,13087.53,3.56,0,21.22,0,656.79,0,4.37,3.07,2.15,2.16,5.2,3.49,0,2.81,2.08,0,49.2,179.2,0,42.01,539.71,37.88,18.58,0.84,0,0,23.74,0,0,1.08,0,3.12,54.53,0,0,11.74,0,4.16
 36-46,0,0.96,10525.41,0,0,38.57,2.03,1355.46,7.23,12.88,0,1.09,0,4.67,32.54,0,0.75,0,2.39,30.09,88.52,1.73,5.35,304.4,5.89,41.43,0.58,0,0,29.34,0,0,0,2.39,0,50.39,0,0,2.99,0.78,6.75
 48-58,0,0,6981.01,0,0,82.94,0,1353.18,1.8,11.79,0,0.46,0,0.8,8.28,2.21,0,0,2.14,37.62,53.88,0.4,5.74,333.89,1.23,10.67,1.75,3.66,0,7.01,0,0,0,9.32,0,49.41,0,0,3.51,0,12.41
 60-70,0,0,6633.33,0,0,102.71,0.73,1432.5,3.73,26.77,3,0,0,1.88,6.34,2.76,3.48,8.92,0,37.83,98.25,0.87,4.3,171.46,0,2.5,9.59,0,0,13.67,0,0,2.6,0,0,16.88,0,0,1.09,8.36,0
 72-82,0,0,5843.57,11.2,0,130.03,0,1286.24,9.38,20.19,7.21,0,0,0,4.62,0,0,0,4.12,69.95,67.56,2.36,7.9,237.04,0,33.75,17.54,0,0,5.98,0,0,0,1.5,0,17.87,3.43,2.36,5.95,3.07,5.57
 84-94,0,0,13410.64,15.15,0,92.8,2,2658.67,0,13.4,8.78,0,0,0.95,15.51,0.73,3.66,4,0,51.04,166.12,1.48,1.88,107.33,0,39.66,13.93,0,1.59,16.99,0,0,2.77,0,0,10.65,13.54,1.08,3.08,22.97,0
 96-106,0,0.64,12339.28,21.31,9.22,160.91,1.84,2324.63,11.2,61.3,28.97,0,0,6.33,25.32,0,2.99,13.71,1.15,84.95,176.58,1.51,19.09,312.49,1.79,58.06,4.72,0,2.93,65.2,2.06,0,0,0.64,0,22.43,11.49,2.85,11.73,2.42,1.26
108-118,0.5,0,13349.26,14.01,0.93,105.59,1.39,3126.09,7.31,33.8,32.82,0,2.64,0.44,27.91,0,0,10.48,2.3,86.53,89.7,1.91,8.13,209.97,2.16,28.47,16.46,0,3.98,18.56,0,0,0.92,0,0,7.81,7.09,0,6.33,4.67,5.54
120,2.82,0,8566.82,6.72,16.95,55.56,0,1999.47,6.91,30.31,20.53,0,0,4.14,12.06,0,5.15,4.86,0,72.71,96.43,0,5.27,109.16,5.1,13.46,22.03,0,0,25.37,0,0,0,0,0,0,4.33,0,9.71,0,16.62
