stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,16.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,9.78,0,0,0,0,0,0,0,0,0,0,196.75,0,0,0,0,0,0,0,0,0,0
 10-12,13.78,20.11,0,0,453.89,0,0,0,0,4.32,0,0,0,0,0,3137.91,0,0,23.98,0,0,6.84,0,0,0,0
 14-21,0,0,252.53,2.16,10.58,2.97,0,0,0,0,10.61,0,47.71,1.1,7.67,79.48,0.83,2.84,0,0,0.83,60.25,3.01,0,0,0
 24-34,0,2.41,77.62,0,1.46,22.25,0,1.94,0,0,50.71,0,26.82,0,3.85,24.09,0,0,0,0,0,88.69,0,6.85,0,0
 36-46,0,0,2.56,0,1.56,1.19,1.83,0,0,0,20.82,1.69,9.1,0,0,34.32,0,0,0,0,0,42.69,0,4.74,0,0
 48-58,0,0,3.86,0,4.67,0.37,7.12,1.25,0,0,12.11,0,20.2,0,0,8.17,0,2.06,0,5.77,0,24.81,0,13.2,0,0
 60-70,0,0,0.58,1.1,3.06,0,27.64,0,0,0,9.28,0,85.71,0,0,5.17,0,0,0,0,0,13.24,0,5.35,0,0.85
 72-82,0,0,0,0,1.13,0,16.64,3.16,0,0,8.46,0,142.63,0,0,10.1,0,0,0,0,0,10.66,0,6.37,0,0
 84-94,0,0,2.3,0,2.36,0.71,0,3.09,0,0,15.48,0.64,73.86,0,0,6.23,0,0,0,0,0,6.36,0,2.11,0,0
 96-106,0,0,1.13,0,5.93,0,2.35,0,0,0,3.05,0.68,174.46,0,0,12.36,0,0.92,0,0,0,4.93,0,0,0,0
108-118,0,0,1.43,0,0.59,0,14.38,1.2,1.42,0,9.1,2.24,131.87,0.77,0,1.12,0,0.58,0,1.42,0,8.91,0,0,0,0
120,0,0,9.05,0,3.49,0,0,0,0,0,0,0,178.28,0,0,29.66,0,0,0,0,0,3.49,0,12.25,3.8,0
