stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,87.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.13,109.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99,0,0,0,13.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,11.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,0,0,0,0,0,18.88,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,56.6,0,0,0,37.77,0,0,0,0,21.63,0,0,0,0,0,0,0
 14-21,0,0,1.8,4.49,4.98,0,10.61,0,0,0,5.5,0,0,0,2.87,0,0,0,0.88,2.14,0,0,3.22,86.01,6,0,0,1.9,0,4.41,0.91,3.07,0,3.47,26.18,0,0,0,0,0
 24-34,0,0,0,1.32,3.26,0,8.99,0,0,0,0,0,0,2.28,1.82,0,0,0.86,3.58,14.87,0,0,0.6,106.57,0.73,3.68,0,0,0,0,0,0,0,0.85,21,0,0,0,0,0
 36-46,0,0,0,0,77.84,0,26.81,0,0,0,0,0,0,0,6.44,0,0,0,0,4.24,0,0,3.24,90.27,0,1.63,0,0,0,0,0,0,0,0,15.9,0,1.04,1.08,3.1,0
 48-58,0,0,0,0,425.71,0,37.5,0,0,0,5.91,0,0,0,2.04,0,0,0,5.93,6.98,0,0,0.62,73.53,3.05,1.04,0.44,0,0,0,0,0,6.51,0,8.74,0,0,0.48,0,0
 60-70,0,0,0,7.03,1211.58,0,45.13,1.44,0,0,3.51,0,0,0,9.04,0,0.8,0,0,8.1,0,6.8,1.69,38.95,0,0,0,0,0,0,0,0,0,0,6.04,8.65,0,0,0,0
 72-82,0,0,0,1.59,3756.06,2.08,91.25,1.38,0,0,26.61,0.85,0,0,3.92,1.25,1.56,0,0,32.05,0,0,1.96,149.1,0,0,1.31,0,0,5.98,0,0,0,0,17.45,2.45,1.51,8.75,7.95,0
 84-94,0,0,0,15.38,3342.78,0,56.86,0,1.15,0.94,15.55,0.58,0,0,19.48,0,0,1.73,0.96,20.27,0,8.14,1.33,115.81,0,0,0.92,0,0,22.49,0,0,0,0,21.09,0,0,6.06,39.15,0
 96-106,0,0,0,11.59,6982.99,10.88,109.69,0.87,0,0.89,14.18,1.42,0,11.71,22.02,23.13,2.29,6.64,0,96.07,0,4.76,6.14,172.82,0,2.44,0,0,0,15.37,0,0,3.42,0,3.04,0,0,9.94,6.74,14.21
108-118,0,0,0,16.68,7109.59,0.75,74.75,19.77,1.13,3.18,16.21,1.14,0,29.8,6.9,2.47,0,8.23,0,29.22,0,1.19,7.53,163.44,1.02,0,3.69,0,18.76,10.42,0,0,0,0,10.8,2.95,4.25,46.31,11.83,9.17
120,0,0,0,20.59,8658.77,0,64.32,4.05,7.42,2.83,34.72,0,0,0,52.31,7.44,0,3.42,0,115.94,1.16,0,16.48,495.45,6.62,0,1.43,0,0,12.36,0,0,0,0,0,0,6.2,55.91,0,0
