stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.85,0,0,0,0,0,0,0,3.63,0,0,0,5.57,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,10.31,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,0,0,0,0,0,0,0,1.58,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19,0.87,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43,0,0,12.22,0,0,0,0,0,0,0,4.05,0,0.93,0,0
 48-58,0,0,1.01,0,3.89,0,0,0.4,11.38,0,0,0,0,0.73,1.48,3.46,0,0,12.82,0,0,0,0,0,0,0,5.44,0,0,0,0
 60-70,0,0,7.54,0,0,0,0,0,18.28,1.56,0,0,0,0,1.49,20.84,1.09,0.68,9,0,0,0,0,0,0,0,9.02,0,0,0,0
 72-82,0,0.54,4.12,0,8.77,0,1.13,1.16,36.07,15.39,0,0,0,4.71,6.24,40.17,4.94,0.77,43.46,0,0.86,0,0,0,0,0,6.95,0,0.66,0,0
 84-94,0,0,10.12,0,9.19,0,4.16,0.64,15.39,23.38,0,0,0,1.03,14.46,34.7,0,0.59,31.2,0,0.77,0,0,0,0,0.6,9.25,0,0.58,0,0
 96-106,0,0,11.47,8.92,15.85,0,6.25,2.3,32.38,30.29,0,0,0,1.34,7.25,55.76,0,0.91,72.35,0.81,1.1,3.02,0,0,3.93,0,20.15,0.93,0.91,0.69,0
108-118,0,0,23.31,0.79,22.88,0.44,9.09,0,36.26,14.94,0,2.04,2.71,1.64,12.03,109.9,1.91,2.22,95.24,0,1.12,1.27,0,1.28,1.5,0.47,7.78,2.38,3.57,1.72,0.51
120,0,0,12.47,0,19.95,0,4.38,0,67.63,15.64,0,0,0,0,20.07,81.86,0,0,161.39,0,0,0,0,0,4.62,1.14,12.02,0,0,1.99,0
