stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,liver,mesenchyme,muscle,neural,periderm,spinal_cord
  5-6,13.75,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.99,0,1.01
 24-34,0,1.64,0,0,0,0,0,0,0,0.71,0,0.65
 36-46,0,0,0,0,0,0,0,0,0,2.15,0.58,0
 48-58,0,0,0,0.67,0,0,0,0.43,0.61,0,0,0
 60-70,0,0,0,0,0,0,5.7,0,0.67,0,0,0
 72-82,0,0,0,2.08,0.78,0,0,0,0,1.05,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.85,0
 96-106,0,0,0,0,0,0.58,0,0,0,0,0,0
108-118,0,0,7.25,0,0,0,0,0,0,0,0.8,0
