stage,erythrocytes,eye,fast.muscle,glial,mesenchyme,muscle,neural,spinal.cord
 36-46,0,0,0,0,0,1.03,0,1.75
 48-58,0,0,0,0,0.53,0,0.6,0
 60-70,0,1.62,0,0,0,0.59,5.43,0
 72-82,0.51,0,0,0,0,0,4.44,0
 96-106,0,0,0,0,0,0,3.09,0
108-118,0,0,0,0.45,0,0,1.07,0
120,0,0,1.04,0,0,0,8.61,0
