stage,axial,blastomeres,epidermis,eye,glial,hatching.gland,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,12.37,50.54,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.24,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,36.03,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,30.48,0,0,16.18,0,0
 14-21,0,0,0,0,0,0,0,2.15,0,0,0,0.84,0.83
 24-34,0,0,0,0.94,0,4.49,1.04,0.62,0,0,0,1.95,0.66
 36-46,0,0,1.21,0.72,0,0,0,0.93,0,0,0,0,1.16
 48-58,0,0,0,0.64,0,0,0,4.11,0,0,0,0,2.91
 60-70,0,0,0,1.52,0,0,0,9.53,0,0,0,2.34,7.77
 72-82,0,0,2.04,0,2.09,0,0,3.4,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,6.3,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.73,0,0,0,0
108-118,0,0,0,0.79,0,0,0,0,0,0.43,0,0.57,0
