stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,8.71,108.3,49.59,0,158.69,0,1.88,0,15.41,4.23,0,2.75,0,5.39,6.7,0,0,5.13,53.55,0,0,50.13,1015.12,6.5,3.18,5.6,12.44,0,11.25,0.91,115.2,4.9,15.22,242.89,229.37,0,0,6.88,0,1.1
 24-34,1.56,8.18,21.68,6.28,0,222.8,1.47,1.31,0.68,24.12,4.5,0,0,4.12,8.79,0,1.95,3.99,3.22,81.73,5.25,0.69,38.24,1184.13,2.43,7.1,7.58,0,3.82,21.5,0,1.61,0,4.25,61.23,228.49,0,0,33.14,0,10.04
 36-46,0,0,47.34,0.94,0,360.14,7.56,5.36,2.91,65.41,1.97,0,0.56,2.89,1.95,2.11,5.06,5.4,15.9,87.8,1.94,14.14,47.04,1472.67,4.6,8.67,9.16,0,0.97,32.4,0,0,1.02,2.51,1.68,253.68,0,0,13.37,0,7.08
 48-58,0,0.67,10.65,4.3,0,581.77,4.94,1.03,7.67,95.83,4.92,0,2.94,5.73,8.63,6.81,3.54,8.8,2.13,164.1,4.33,5.39,51.13,1642.11,7.05,7.09,5.99,0,0,23.1,0,0,2.15,5.68,0,240.76,0,0,31.82,0,19.31
 60-70,0.89,0,39.62,3.05,0,909.22,12.63,1.8,6.88,110.54,15.61,0,17.8,4.43,3.96,0.84,2.52,9.04,1.67,197.76,1.9,26.21,38.29,1706.58,2.19,3.63,8.72,0,0.96,41.07,0,0,5.27,6.04,0,202.21,0,1.74,19.52,0.71,5.36
 72-82,0.68,0,34.17,10.35,1.05,397.01,5.6,1.97,6.09,66.85,7.51,0,4.62,13.48,6.48,3.09,12.25,9.37,1.47,188.42,1.79,5.48,33.53,1047.49,3.09,3.6,11.12,0,1.42,17.64,0,0,5.07,4.35,0,59.43,0.87,5.66,9.67,5.01,20.98
 84-94,2.45,1.04,37.22,10.21,2.43,282.35,4.73,5.58,10.12,54.47,17.48,0,1.5,17.87,10.28,7.17,2.95,10.72,1.74,131.63,3.47,12.33,38.74,410.66,1.46,1.38,12.16,0,0,111.46,0,0,4.45,1.92,0,38.07,3.41,3.3,13.52,2.72,1.69
 96-106,1.17,0,54.85,18.47,7,255.2,4.6,3.77,9.76,94.15,17.57,1.32,3.36,24.32,16.45,4.3,6.15,7.45,0,197.66,4.56,10.69,79.67,672.23,1.75,4.96,18.67,0,3.67,127.34,0,0,10.26,0.85,0,26,5.22,5.66,15.31,8.49,5.91
108-118,0,0,74.51,22.27,28.84,279.57,5.84,5.96,12.46,86.47,26.52,0,1.71,23.15,12.41,3.09,5.45,15.75,7.23,252.15,3.72,8.06,55.08,812.04,5.44,5.08,12.47,0,1.87,123.23,0,0,1.18,0.55,0,35.13,3.38,1.91,32.49,3.28,9.68
120,0,0,132.92,50.42,23.29,322.7,11.44,4.99,11.4,86.14,26.63,0,1.15,52.77,8.7,3.34,14.78,21.58,3.43,271.03,2.67,26.21,111.45,1141.36,6.84,21.32,26.39,0,0,125.03,0,0,8.36,0,0,36.43,1.84,2.35,78.95,6.7,3.85
