stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,18.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.13,0.9,0,0,0,0,0,0,0,0,0,0,2.37,0,0,1.73,18.87,0,0,0,1.31,0,2.88,11.89,0,0,0,0
 24-34,0,0,1.54,0,0,1.42,0,0,0,0.74,0,0,0,0,0,0.62,3.11,0,0,0.72,1.7,1.27,0,2.27,0,0,0,5.59,0,0,0,0
 36-46,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,1.07,0,0.86,0.63,0,0,5.68,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.68,0,1.87,1.9,0,0,0,0,0,0,0,0,0,4.97,0.88,2.31,0.97,7.56,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0.65,0,0,0,0,0,1.43,0.63,0,0,0,0,0,0,0,5.68,0,0.62,0.69,8.56,0,0,0,0,0.68,0,0,1.14,0.83,0,0
 72-82,0,1.71,0,0,0,2.64,6.88,14.48,0,0,0,1.57,0,0,0,0,2.05,0.6,0.95,4.09,10.47,0,0.75,0,0,0,0,0,2.74,0,2.52,0
 84-94,0,0,0,0.55,0,0,0,9.62,0,0,0,1.18,1.01,0,0,1.36,6.19,2.38,0,0,3.66,0,0,0,0,0,0,0,0,2.41,0,0
 96-106,0,0,0,2.44,3.59,0.82,0,6.08,0.57,0,0,4.1,0,0,3.85,0,0,8.08,0,1.62,1.66,0,0,1.4,0,0,0,0,0,1.25,0.74,0
108-118,0,0,0,0,1.69,1.13,0,14.24,1.6,0,1.49,2.75,2.3,2.2,0,0,0,10.35,0,4.36,7.61,0,0,1.78,0,0,0.56,0,0,0,0,3.42
120,0,0,0,7.73,0,0,0,0,0,0,0,13.46,0,0,0,0,0,11.89,0,0,24.05,0,0,0,0,0,0,0,0,0,6.74,0
