stage,blastomeres,epidermis,glial,mesenchyme,muscle,neural,spinal.cord
  5-6,10.65,0,0,0,0,0,0
 24-34,0,0,0,0.71,0.71,1.67,0
 36-46,0,0,0,0,1.08,1.31,0
 48-58,0,0.41,0.53,1.14,0,0,1.08
 60-70,0,0,0,0,0,0,2.75
 72-82,0,0,0,2.9,0,7.85,0
 84-94,0,0,0,0,0,4.54,0
108-118,0,0,0,0,0,0.89,0
