stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,periderm,spinal.cord,vasculature
 14-21,0.87,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0.99,0.8,0.82,0
 24-34,0,0,0,0,0,0,0,0.64,0,0,0,1.32,0,0,0,4.96,13.08,0,0
 36-46,0,0,0,1.38,0,0,1.72,0,0,0,0,0,0,0,0,3.77,52.63,0,0
 48-58,0,0.6,0,0.69,1.6,0,1.22,0,0,0,1.59,0.51,0,0,0,6.39,21.9,0,0
 60-70,0,0,0,0,0,0.86,0,0,3.78,0,0,0.72,0,0,0.67,7.05,35.77,1.55,0
 72-82,0,3.44,0,0,0,0,0,0,0,0.53,0,0,0.92,0,0,9.32,25.24,0,0
 84-94,0,1.33,0,6.3,0,4.61,0,0,0,1.52,0,0,0,0,0,0.97,53.98,0,0
 96-106,0,3.04,7.17,1.32,0,0,0,0,0,0.66,0.92,2.95,3.16,0,0,0.92,75.08,1.89,0
108-118,0,5.63,0,6.93,0,1.69,1.05,1.46,2.04,2.61,0,2.69,0.53,0,1.42,5.54,45.43,0,1.64
120,0,17.03,0,0,0,4.45,0,1.77,0,1.65,1.77,0,1.47,1.26,0,12.05,92.83,0,0
