stage,erythrocytes,eye,glial,neural
 14-21,0.81,0,0,0
 24-34,0,0,0,1.39
 36-46,0,1.03,0,0
 60-70,0,0,1.78,2.41
 72-82,0,0,0,1.19
108-118,7.67,0,0,0
