stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,4.44,1.19,0,0.81,0,0,9.06,0,0,2.11,0,0.91,28.28,1.65,0,0,0,3.13,1.84,14.65,0,0
 24-34,0.65,0,0,0.94,0,0,3.1,0.74,0,2.31,0,0,17.98,0,0,1.32,0,0,0,16.32,2.14,0
 36-46,0,0,0,1.42,0,0,2.05,0,0,2.94,0,0,28.15,0,0,0,0,0,0,8.08,0,0
 48-58,0.39,0,0,8.55,0,0,2.82,0,0,2.14,0,0.5,19.47,0,1.06,0,0,0,0,5.76,0,0
 60-70,0,0,0,7.01,4.82,0,1.47,0,0,5.92,0,0,14.29,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.99,0,0.74,0.76,1.13,0,4.28,0,0,9.46,0,0,2,0,0,0,0.99,0,0
 84-94,0.74,0,0,4.04,0,0,1.54,0,0,3.17,0.63,0.75,1.83,0,0,0,0,0,0,1.08,0,0
 96-106,0,0,0,1.55,0,0,0,0,0.63,0.72,0,0,6,0,1.44,1.89,0,0.6,0,0.94,0,0
108-118,0,0,2.69,5.17,0,0,1.05,0,0,4.02,0,0,8.15,0,0,0,0.44,0.55,0,0.45,2.27,0.87
120,0,0,0,0,0,0,0,0,0,5.34,0,0,3.08,0,0,0,0,0,0,7.55,0,0
