stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,iridophores,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,11.64,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.29,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,13.64,5.17,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.94,0
 14-21,0,0,0,0,0,0,0,0,0.89,0,0,2.05,0,1.19
 36-46,0,0,0,0,0,0,0,0,0,1.12,0,0,0,2.19
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81
 60-70,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,5.38,0,0,0,0
 84-94,0,0,0,0,0,0.66,0.79,0,0.66,5.84,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.2,0,0.83,0,0
108-118,0,0.7,0,0.61,1,0.59,0,0,0,3.97,0,0,0,0
120,0,1.28,13.33,0,0,0,0,1.29,0,10.87,0,1.05,0,0
