stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.43,332.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,0,0,0,0,0
  5-6,13.99,145.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,9.48,0,0,0,0,7.85,0,0,0,0,0,0,0,0,25.94,0,8.14,0,0,0,0,0,0
 10-12,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,170.34,0,3.5,0,0,0,0,0,13.7,0,0,0,0,1.51,0,0,9.27,0,0,0,1.28,1.06,0,0,0
 24-34,0,0,0,0,0.95,74.38,0,1.96,0,0,0,0,0,45.86,0.62,0,0,0,0,0,1.42,15.59,0,0,0,2.36,4.85,3.32,0,0
 36-46,0,0,0.98,0,0,22.48,0,0,0,0,0,0,0,82.37,0,0,0,0,0,0,0,13.73,2.66,0,0,0,3.8,4.04,0,0
 48-58,0,0,0,0,0,15.88,0,3.26,0,0,4.02,0,0,49.13,0,0.38,0,0,0,0,0,48.61,0.39,0,0,0,8.75,8.67,0,0.55
 60-70,0,0,0,0,1.15,37.14,0,13.4,0,0,3.16,0,0,75.89,1.42,0,0,0,33.46,0.98,0,40.16,0,0,0,0,5.33,4.9,0,0
 72-82,0,0,0,0,0,63.72,0,11.48,0,0,4.01,0,0,67.59,0,0,0,0,41.57,0,0,67.44,0,0,0,0,9.08,10.51,1.13,5.49
 84-94,0,0,0,0,0.91,100.15,0,20.71,0,0,0.9,0,0,110.93,0,0,0,0,26.99,2.42,0,35.18,0.93,0,0.67,0,15.79,15.16,0,0
 96-106,0,0,0,0,4.39,187.6,0,15.5,1.57,1.15,2.2,0,0,142.6,0,0,1.43,0,79.16,20.11,0,44.82,0.69,0,0,0,0,24.32,1.67,11.02
108-118,0,0,0.71,0,3.12,153.66,1.67,18.78,0,0,1.75,0,0,168.31,0,0.95,0,0,26.41,3.73,0.42,68.07,0,0,1.63,0,5.76,24.44,0,0
120,0,0,14.01,0,13.61,261.34,0,14.65,0,0,24.91,2.91,0,177.61,0,0,0,1.55,7.57,0,6.9,147.03,5.76,0,6.37,0,4.47,30.88,8.56,0
