stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,28.18,259.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.43,292.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.95,0,0,0,0,8.98,0,0,0,0,0,0,0
  7-9,16.17,12,17.32,0,0,45.41,0,0,0,29.35,0,0,0,0,0,0,0,0,339.5,25.13,0,0,135.98,0,16.15,0,0,0,0,0,0
 10-12,0,8.35,10.87,0,0,32.55,0,0,0,4.77,0,0,0,0,0,0,0,0,328.39,0,0,0,148.34,0,0,0,21.34,0,0,0,0
 14-21,0,0,0.93,6.66,4.4,2.99,0,0,0,0,0,0.86,0,0,0,3.93,0,2.55,49.1,10.6,2.5,0,1.8,12.2,0.9,23.47,0,3.73,22.76,1.68,0
 24-34,0,0,0.59,1.16,8.07,7.16,0,0.59,0,0,0,0.6,0.64,0,0,2.78,0,3.71,42.44,0,1.57,0.74,0,29.85,0,0,0,0,4.38,1.52,0
 36-46,0,0,0,0.58,14.72,3.51,0.95,0,0,0,0,0,0,0,0,3.12,0,2.19,9.39,0,0.63,0.87,0,16,0,0,0,0,2.23,0,8.21
 48-58,0,0,0,2.57,31.46,4.35,0,5.38,0,0,0,0,0,0,0,1.17,0,0.43,17.07,0,0,0,0,5.74,0,0,0,0,1.68,0,0
 60-70,0,0,0,1.43,2.58,1.74,0,8.15,0,0,5.63,0,0,0,0,0,0,0,9.71,0,0,0,0,0.75,0,0,0,0,0,0.74,0
 72-82,0,0,0,1.25,1.06,5.46,0,0,0,0,0,0,0,0,0,4.07,0,0,4.06,0,0,0.84,0,5.82,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,13.87,0,0.59,0.9,0,0.59,0,0,0.59,0,0,0.85,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0
 96-106,0,0,0,0.62,4.53,0,0,0,1.47,0,0.58,0,0,0,0,0.77,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0
108-118,0,0,0,2.77,2.27,8.66,0,0.64,0.48,0,0.42,0,0,0,0.46,2.45,0,0,3.11,0,0,0.86,0,3.4,0,0,0,0,0,0,0
120,0,0,0,3.46,0,0,0,0,0,0,1.06,0,0,0,0,6.4,0,0,0,0,0,0,0,2.71,1.53,0,0,0,0,0,0
