stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,126.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.35,0,0,0,17.97,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.14,0,0,0,19.96,0,0,0,0,0,0,3.28,0,0,0
 14-21,0,0,0.85,0.81,2.53,0,0,0,0,0,0,0,1.15,0,0,0,0,0.83,0,0,0,28.29,0,0,0,1.18,0,0.97,0,0,461.8,0,4.58,0,0,0
 24-34,0,0,1.4,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0,0,25.63,65.39,0,0,0,0,0,4.07,1.55,0,744.22,0.73,5.52,0,3,0
 36-46,0,0,10.4,0,19.07,0.85,0.87,0,2.99,0,0,1.66,0,0,0,0,0,7.11,0,0,9.78,84.48,0,0.64,0,0,0,14.77,1.63,0,759.57,0,16.16,0,0,3.48
 48-58,0,0,0,0,21.97,0,0,0,9.41,0,0,1.91,0,0,0,0,0,15.01,0,0.4,3.73,82.02,0,0,0,0,0,0,0,0,481.58,0,14.89,0.42,0,7.01
 60-70,0,0,0,0,14.66,15.64,7.51,0,7.59,0,0,0,0,2.5,0,0,0,2.04,0,0,6.59,35.01,0,0,0.83,3.24,0,0,0,0,283.9,0,0,0,3.16,0
 72-82,0,0,0,0,19.15,11.16,0,0,2.24,0,0,0,0,0,0,0,0.56,15.67,0,0,2.73,33.12,0,0,0,1.13,1.4,4.32,0,0,151.87,0,0,0,2.31,0
 84-94,0,0,5.71,7.01,9.08,15.79,0,0,6.92,0,0,0,0,0,0,1.35,0.72,5,0,0,3.91,25.51,0,0,0,0,0,4.21,0,0,353.86,0,2.8,0,0,13.1
 96-106,0,0,1.24,17.32,52.54,21.09,0,4.17,19.39,0,1.68,0.65,0,0,1.83,3.61,0,19.58,0,0.92,11.69,21,0,1.89,0.86,3.61,0,13.34,0,0,314.08,0,6.56,0.89,0.79,0
108-118,0,0,0.43,1.93,29.64,54.68,0,2.8,23.39,1.19,0,2.15,0.6,0,2.53,0.88,0,24.29,2.81,0,0.52,31.56,0,0,1.23,0,0,11.5,0,0.48,237.37,0,3.93,0,1.34,10.48
120,0,1.66,8.43,19.55,16.95,15.36,1.27,0,0,5.27,0,10.18,0,0,0,0,0,43.86,0,0,15.17,27.23,0,0,0,0,6.67,0,1.12,0,82.73,0,0,0,5.29,0
