stage,endoderm,epidermis,eye,glial,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pronephros,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.89,0,0
 10-12,0,0,0,0,3.57,0,0,0,0,8.51,0,4.26,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.11,0,0,0,1.41
 24-34,0.72,2.3,0,0,0,0,0,0,0.74,4.23,0.89,0,0,0.89
 36-46,0.56,2.09,1.87,0,0,0.72,0,0,0,4.57,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.8,0,0,0,0,0,1.28
 60-70,0,0,5.63,0,0,0,0,2.4,0,6.57,0,0,0,0
 72-82,0,0,1.38,0,0,10.03,0,4.94,0,11.11,0,0,3.55,0
 84-94,0,0,11.18,0,0,2.19,0,5.39,0,2.48,0,0,0,0
 96-106,0,0,0,2.64,0,8.45,0,12.83,0,4.17,0,0,0,0
108-118,0,0,0,0,0,0.83,0.62,0,0,16.43,0.92,0,0,0
120,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0
