stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,158.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.2,85.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.04,0,0,0,0,0,0,0,0,0
  7-9,5.17,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.41,0,0,0,7.21,0,17.65,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.96,0,0,0,0,0,25.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39,3.37,0,0,0,0,47.8,0,0,0,1.12,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,22.19,9.99,0,0,0,0,0,0,0,2.32,4.3,0,0,0,0,0,7.67,0,0,0,2.22,0,0,0,0,0
 36-46,0,0,0,2.31,0,0,0.71,0,0,0,0,0,0,307.74,16.95,0,0,0,0,1.87,4.93,0,0,8.05,0,0,0,0,0,15.57,0,0,0,0.64,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.57,0,0,0,0.8,0,0,553.06,39.74,0,0,1.47,0,2.31,0,0,0.8,18.66,0,0,2.05,0,0,11.67,0,0,0,0.42,0,0,0,0,2.8
 60-70,0,0,0,1.85,0,0,5.75,0,0,0,0.87,257.17,0,1559.59,21.89,0,0,367.03,0,1.63,0.57,0,0,24.2,0,0,0,0,0,115.93,0,0,0,7.95,0,0,0.58,0,0
 72-82,0,0,0,13.19,2.93,0,20.57,1.65,0,0,5.94,147.61,2.66,1209.04,46.31,0,0,13.58,0,8.37,4.03,0,0.73,48,0,0.74,0,0,0,241.11,0,0,0,13.32,0,0.91,3.36,0,2.09
 84-94,0,0,0,56.77,20.87,0,5.91,0,6.89,1.17,6.03,369.39,0,1735.14,91.71,0.6,0,0,0,7.76,9.51,0,0,19.51,1.53,2.19,2.91,0,0,756.99,0,0,0,0,0,0,0,0,0
 96-106,0,0,7.24,122.44,14.92,0,191.5,2.11,23.18,1.39,34.29,1434.99,1.2,3314.82,132.57,2.33,0,32.36,0,61.63,23.19,1.96,9.76,311.94,0.81,4.83,12.42,0,8.13,1598.59,3.39,19.75,0,11.39,0.67,0,17.97,0.91,1.22
108-118,0,0,5.72,145.02,23.06,12.91,210.23,5.37,30.93,1.88,23.7,3632.64,0,4251.12,137.25,28.25,7.82,3.44,3.05,102.8,27.18,1.21,7.4,293.33,1.02,6.2,5.37,0,3.03,784.34,0,3.26,0.48,15.17,17.7,0,16.35,2.59,5.2
120,0,0,4.32,97.02,26.14,1.09,166.28,1.75,11.85,7.89,54.53,9802.58,0,8523.57,79.71,3.04,2.64,286.6,0,119.16,11.64,8.06,33.06,482.63,12.17,8.57,2,0,0,614.32,0,2.95,0,18.15,0,0,15.26,0,7.45
