stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,69.08,968.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.42,0,0,0,0,0,0,0,0,0,0
  5-6,16.03,718.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.25,0,0,0,27.65,0,29.78,0,0,0,0,0,0,0,0,0,0
  7-9,18.43,39.3,0,43.11,0,0,0,167.89,0,0,0,0,0,51.17,0,0,0,0,0,0,0,0,0,0,0,909.75,30.71,0,0,429.51,0,9.68,15.09,0,0,0,0,0,0,0,0,0
 10-12,0,29.78,0,20.34,0,0,0,109.25,0,0,0,0,0,4.59,0,0,0,0,0,0,0,0,0,0,0,1208.66,9.08,0,0,406.3,0,0,0,4.19,50.43,0,0,0,0,0,0,0
 14-21,0,0,0,1.87,20.36,6.42,0,12.28,0,0,0,14.7,2.87,0,0,0,0,0,0,0,0,18.95,0,0,16.71,272.4,2.72,1.13,1.04,7.08,0,7.52,0,27.19,3.04,0,9.33,93.08,0,1.64,0,0
 24-34,0,0,0,4.27,9.7,4.09,0,47.92,0,0,0.84,26.48,1.59,1.82,1,0,0.72,0.76,3.67,0,0,50.86,0,0,12.26,600.08,2.77,0.72,5.68,0,0,30.98,0,0,1.32,0,1.96,118.84,0,13.1,0,0
 36-46,0,0,0,0,6.78,0,0,98.07,1.34,0,1.94,15.35,0,0,0.56,3.12,0,0,0.61,0,0,49.45,0,0.56,9.92,350.49,8.71,1.01,2.64,0,0,6.84,0,0,0.62,0,0,64.62,0,5.52,0,0
 48-58,0,0,0,0,7.04,1.12,0,78.75,0,0,1.65,15.91,0.87,0,0.48,0,0,0.38,0.41,0,0.6,32.6,0,0.84,4.36,100.75,0.56,1.5,0.44,0,0,1.65,0,0,0,0,0,25.2,0,16.75,0,3.87
 60-70,0,0,0,0,7.61,0,0,62.61,0,0.69,2.97,22.39,0.65,0,3.74,3.93,0,0,0,0,0,39.39,0,3.09,11.12,66.97,0,0,1.97,0,0,5.17,0,0,1.54,0,0,10.75,1.03,0.72,0,0
 72-82,0,0,0,0,5.6,0,0,38.65,0,0.6,0.66,15.79,0,0,0,1.42,0,0.64,3.69,0,0,70.27,1.09,1.76,4.21,42.67,0,2.61,1.1,0,1.79,6.94,0,0,0.55,0,0,7.83,0,15.25,0.57,18.55
 84-94,0,0,3.91,0,11.86,8.75,0,16.69,0,0.56,4.8,13.97,1.22,0,0,3.43,0,0,0,0,0.86,60.95,0,2.5,9.77,39.05,1.82,2.5,1.27,0,0,16.82,0,0,1.09,0,0,10.08,1.98,0.66,3.16,1.37
 96-106,0,0,0,0,7.9,13.57,0,15.59,0,0,7.06,27.82,4.65,0,1.03,1.59,0.66,3.1,2.72,4.24,0,46.33,0,0.78,1.95,53.09,0,0.59,2.5,0,2.84,27.61,0,0,0.69,0.68,0,0,4.85,0,2.54,4.04
108-118,0,0,0,0,20.89,4.63,0.55,35.35,0,2.36,4.46,31.93,1.01,0,0,6.64,1.3,12.35,0.78,1.34,0.58,99.35,7.58,2.68,11.55,61.54,0.48,0.45,9.49,0,1.95,20.47,0,0,0,0.49,0,2.54,4.93,13.13,0,6.93
120,0,0,2.94,0,28.98,3.62,0,15.51,0,7.31,3.26,37.01,0,0,0,13.74,6.67,2.83,4.99,0,0,121.35,0,3.51,0,87.64,3.33,1.32,9.14,0,0,9.84,0,0,1.14,0,0,19.88,3.8,10.59,4.22,0
