stage,eye,fin_mesenchyme,glial,mesenchyme,mucous,mural_cell,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord
 10-12,0,0,0,0,0,0,16.65,0,0,9.22,0,0,0,0
 14-21,1.76,0,1.06,0,0,0,1.86,0,0,0,0.94,0,3.28,17.96
 24-34,4.52,0,1.17,0,0,0,12.17,0,0,0,0,0,0.67,86
 36-46,0,0,0.65,1.09,0,0,5.14,0,0,0,0,1.04,0.83,52.16
 48-58,0,0.83,1.22,0,0,0,11.31,0,0.42,0,0,0,0,10.9
 60-70,0,4.32,1.17,1.68,0,0.64,7.35,0,0,0,0,0,0,6.22
 72-82,0,1.36,2.21,0,0,0.57,2.88,0,0,0,0,0,0,13.45
 84-94,2.49,0.83,0,0.86,0,0,0.88,0,0.72,0,0,0,0,3.51
 96-106,6.97,0,0,1.6,0,0.93,21.3,1.47,0,0,0,0,0,45.28
108-118,0,1.36,0,0,0.77,0,5.75,0,0,0,0,0,0,2.45
120,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0
