stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,41.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,139.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.38,0,0,0,0,0,72.97,4.17,0,9.3,0,0,0,0,0
 14-21,0,0,0,1.23,0,0,0,0,0,7.99,0,0,0,1.06,2.27,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,6.43,0,1.03,0,0,0.95,0,0.94,0
 36-46,0,0,0,1.59,1.7,0,0,1.83,0.56,13.56,0,1.39,0,0,4.95,0,0,0
 48-58,0,0,0,0.58,0,0,0,2.48,0,1.81,0,0,0,0,0,0,0.47,0
 60-70,0,0,0,0.75,4.2,0,0,2.96,0,11.76,0,0,0,0,0,0,0,0
 72-82,0,10.26,0,1,6.21,0,0,13.96,0,21.09,0,0,0,0,1.66,0,0,0
 84-94,0,0,3.81,2.57,4.31,0,0,15.06,0.68,8.04,0,0.93,0,0,0,0,0,0
 96-106,0,0,0,0.6,4.01,0,0.72,7.59,0,3.24,0,0,0,0,0,2.52,0,0.72
108-118,0,0,0,1.37,6.53,0,0,6.02,0,3.64,0,0,0,0,0,0,0,0
120,0,0,0,1.06,11.79,4.06,0,2.16,0,9.82,0,0,0,0,0,0,0,0
