stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,33.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.43,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.73,0,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477.74,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,8.77,0,26.36,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2742.13,63.75,0,0,93.39,0,0,0,3.78,0,0,0,0,0,0,0,0
 14-21,0,0,0,1821.92,13.56,0,7.58,0,0,0,1.72,0,1.05,0,0,9.89,0,4.26,0,0,3.17,2.22,0,7.43,46.72,88.48,0,10.26,1.83,0,3.31,4.99,28.18,0,2.12,15.04,0,0,12.63,0,0
 24-34,0,0.81,1.41,1435.19,12.01,0,14.79,0,64.14,0,2.18,0,0,3.44,0.83,0,0,81.46,0,0,87.55,15.24,0,109.1,233.25,140.66,0,11.69,0,0,3.46,0,26.42,0,3.72,55.24,0,0,150.73,0,1.15
 36-46,0,2.16,0,1149.16,1.22,0,7.34,0,132,1.36,14.17,0.56,0,0.99,0,0,12.24,52.11,0,0,190.57,11.53,1.42,84.52,136.64,82.22,7.29,4.88,0,0,2.48,0.9,2.87,0,0,48.32,0,0,104.7,0,27.5
 48-58,0,2.55,0,914.65,0,0,34.62,0,212.42,1.33,23.55,0,0,6.57,1.26,0,32.26,42.4,0,0,190.04,15.03,0,52.95,198.5,123.95,0.97,11.63,0,5.19,7.48,0,4.42,0,0,50.98,0,0,132.09,0,25.28
 60-70,0,0.7,0,702.55,0,0,37.64,0,150.87,0,37.52,0,0,5.08,0,0.62,51.9,22.34,0,0,175.81,6.48,0.82,49.33,165.63,66.93,1.49,3.06,0,0,5.08,0,6.85,0,0,42.69,1.22,0.79,78.32,0,12.73
 72-82,0,3.17,0,607.25,0.55,0,36.23,2.74,142.64,0.84,120.41,5.2,0,10.89,0.61,2.13,101.87,36.01,6.44,0,231.36,8.65,14.37,39.55,218.52,42.97,4.06,4.46,0,0,1.95,0,0.85,0,0,38.69,0.6,0,184.5,1.58,10.84
 84-94,0,2.32,0,1044.89,3.62,0,35.29,0,271.17,1.09,55.15,2.6,0,0,0,12.4,177.11,38.24,0,0,210.8,11.95,8,36.36,118.03,102.49,3.58,1.61,0,0,8.29,0,5.98,0,0,45.44,1.79,0,156.14,1.88,21.22
 96-106,0,0.63,0,1685.46,23.58,0.97,85.98,0,303.01,1.04,140.69,9.11,0,5.98,0.64,7.09,170.96,28.42,1.71,1.06,243.43,20.53,17.64,47.87,198.45,58.52,11.08,8.85,0,0,6.33,0,5.95,0,0,11.11,6,1.27,156.08,6.72,26.41
108-118,0,0,0,2168.7,0,0.72,43.07,0.73,530.94,2.99,121.07,15.73,0,4.81,1.42,22.22,283.7,36.32,1.6,16.9,284.65,19.15,9.59,32.1,179.5,60.72,8.79,15.01,0,0,3.46,0,8.7,3.63,0,12.87,15.25,0,143.7,3.59,48.56
120,0,2.14,0,990.21,4.55,14.33,32.98,8.33,256.96,0,152.9,1.26,0,0,10.09,9.88,171,15.49,0,1.33,303.34,12.92,4.72,26.8,226.38,122.3,1.91,7.12,0,0,2.41,0,6.89,0,0,24.27,7.95,0,149.93,0,4.3
