stage,eye,glial,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,16.29,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.18,0,0,0,0
 14-21,0,0,0,0,0,2.44,0.84,0,0,3.33,0,0
 24-34,0,0,0,0,0,2.72,0,0,0,0,1.22,0
 36-46,0,1.53,0,0,0,5.27,0,0,0,0,0,0
 48-58,1.16,0,0,0,0,9.97,0.44,0,0,0,0,0
 60-70,0,0,0,0,0.79,2.51,0,0,0,0,0,0
 72-82,0,0,1.57,0,0,0.75,1.14,0,0,0,0,0
 84-94,0.69,0,0,0,0,0,1.13,0,0,0,0,0
 96-106,0,1.55,12.27,0,2.05,0,0.95,0,2.88,0,0,0
108-118,0,0,25.29,0,0,1.96,1.41,0,0,0,0,1.03
120,0,0,23.36,1.97,0,0,0,0,0,0,0,2.91
