stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,70.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,68.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,6.31,0,0,0,8.94,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.93,0,0,0,0,0,0,0,0,0,0
 14-21,0,6.6,0,0,0,7.21,0,0,0,0,0,0,0,0,0,0,0,0,2.39,0,0,0,0,0,0,0,0,0,0
 24-34,0,5.95,1.28,0,0,29.64,0,0,0,0,0.92,0,0,0,0,1.47,0,0,20.12,0,0,0,0,0,0,0.95,0,0,0
 36-46,0,0.95,2.38,0,0,33.54,0,0,0,0,0,0,0,0,0,1.46,0,0,28.1,0,0,0,0,0,0,1.37,0,0,1.29
 48-58,0,6.05,0,0,0,188.74,0,0,3.4,0,0,0,0,0,0,0,0,0.76,34.43,0,0,0,0,0,0,1.24,0,0,0
 60-70,0,0.7,0,0,0,1670.04,0,0,0,0,0,0,0,0,0,9.55,0,0,76.7,0,0,0,0,1.16,0,5.12,0,0,0
 72-82,0,4.4,5.42,0.57,0,3894.97,0.68,0.61,26.25,0,0,0.59,0,0.86,0,11.2,1.04,0.82,204.4,0,0,0,0,0,0,17.14,0,0.6,0
 84-94,0,0,10.79,0,0,2871.85,1.61,0,25.11,1.3,0,0.65,0,0,1.49,2.16,0,0,119.03,0.62,0,0,0,0,0,1.97,1.38,0,6.18
 96-106,0,0.63,8.16,8.83,0,3266.89,0.58,0,26.91,0.85,0,0.93,0.66,0,1.98,18.73,0,2.26,145.55,0,1.03,1.99,0,1.8,0.6,3.8,0.77,2.41,0
108-118,0,0,10.05,1.06,1.93,2810.56,0,0,11.6,0,0,1.07,0,0,6.54,9.97,1.5,0,154.02,0,5.56,0,0,5.91,0,0,0,3.26,0
120,0,0,19.81,6.68,0,2982.73,0,0,24.23,1.38,0,0,10.67,0,1.02,7.8,0,3.32,168.54,0,0,0,0,0,0,0,0,0,21.97
