stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,27.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.47,48.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.85,0,0,0,0,0,56.56,0,0,0,0,0,0,0,0,0,0,5.03,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.41,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.18,3.39,0,0,6.33,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,110.5,26.79,0,0,0,0,0,0,0,0,0,0,0,0,0,26.79,0,0,8.97,28.9,27.83,0,0,0,0,0,0,0,3.1,0,0,31.15,0,0
 24-34,0,0,0,107.39,1.35,0.73,0,5.11,0,2.28,0.89,0,0,0,0,0,0,0,20.05,0.77,0,6.41,35.39,3.71,0,0.65,0,0,0,0,0,9.99,0,0,278.66,0,0
 36-46,0,0,0,40.2,0,2.11,0,2.04,0,1.24,0,0,0,0,0,7.51,0,0,26.33,0,0,10.93,66.91,0,1.06,0,0,0,0,0,0,8.73,0,0,171.84,0,0
 48-58,0,0,0,18.84,0,8.45,0,0,0,0,0,0,8.19,0,0,0,0,0,50.05,0,0,15.48,92.44,0,0,0.7,0,0,0,0,0,31.22,0,0.82,125.42,0,0
 60-70,0,0,0,25.82,0,1.85,0,0,0,0,0,0,4.91,0,0,0,0,0,79.95,0,2.46,6,104.37,0,0,0,0,8.75,0,0,0,26.79,0,1.64,100.45,0,8.44
 72-82,0,0,0,3.02,0.64,8.64,0,0,3.21,1.65,0,0,1.19,0,0,1.05,1.68,0,116.24,0,3.23,8.96,150.66,0,0,5.03,0,6.94,0,0,0,45.7,0,2.99,130.98,7.48,0
 84-94,0,0,0,13.26,1.65,21.31,0,0,0,1.72,0,0,2.1,0,2.85,0,0,0,117.99,0,18.67,8.21,147.84,0,0,0,0,21.18,0.77,0,0.74,16.68,2.04,7.19,151.61,1.98,0
 96-106,0,0,0,11.72,0,22.73,0,0,0,12.05,2.76,0,0,0,2.37,0,0,7.05,80.64,0,3.51,21.84,128.34,0,0,2.21,0,32.12,0,0,0,8.35,0,6.66,120.16,1.69,0
108-118,0,0,0,6.27,0,22.83,0.64,0,3,4.78,0,0,4.98,0.84,2.44,0,0,0,93.68,0,7.15,4.96,147.58,0,0,3.86,0,35.75,0,0.7,0,4.84,0,3.44,111.6,1.58,0
120,0,0,0,2.76,0,31.56,0,0,0,10.57,0,0,0,0,3.9,0,0,0,150.15,0,6.75,12,263.61,0,0,0,10.96,61.78,0,0,0,13.33,0,3.79,116.34,8.03,0
