stage,endoderm,eye,glial,immune,mesenchyme,neural,olfactory,spinal.cord
 14-21,0,0,1.61,0,0,0,0,0
 24-34,0.6,0,0,0,0,0,0,1.05
 48-58,0,0.68,0,0,0.48,0.53,0,1.02
 60-70,0,2.82,6.08,0,0,2.61,0,0
 72-82,0,0,2.13,0,2.61,0,0.53,1.01
 96-106,0,0,0,0,3.34,0,0,0
108-118,0,0.98,2.6,0.47,4.11,0,0,0
120,0,0,0,3.58,0,5.25,0,0
