stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,44.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,95.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,33.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.54,0,0,0,10.9,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.34,0,0,0,18.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443.46,0,0,0,5.28,0,4.33,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,581.66,0,0,2.19,0,0,0,0,0,0,0,1.62,0,0,0,1.01,0,0,1.39,26.36,0,0,0,0,0,52.4,1.29,0,0.95,0,3.21,0,0,0,0,0
 24-34,0,0.83,1275.49,0,0,6.71,0,16.01,0,0,0,0.76,0,15.76,2.27,0,0,16.53,10.99,0,8.36,67.18,0,1.32,0,0,0,176.77,0,0,0,1.47,4.71,0,0,18.28,0,0.89
 36-46,0,0,939.85,0,0,6.67,0,64.27,0,0.67,0,0,0,18.07,0,0,0,5.67,31.88,0,1.3,83.45,0,8.98,1.59,0,0,353.89,0,0,0,0,4.87,0,0,0,0,0
 48-58,0,0,2216.9,5.12,0,50.59,6.84,95.91,5.19,11.52,0,0,1.21,3.8,1.18,6.87,0.6,19.78,44.61,5.99,0.83,177.17,1.4,6.79,0.62,0,0,1506.39,0,0,0,0,34.55,0,0,4.39,0,6.97
 60-70,0,0,1624.45,0,0,90.6,0,70.37,0,4.84,2.18,0,0,13.08,0,0,0,25.24,25.75,2,1.43,108.05,0,3.01,0,0,0,1125.66,0,0.73,0,0,23.96,0,0,0.58,0.71,0.99
 72-82,0,0,911.77,2.38,0,27.47,0,29.21,1.77,6.74,0,1.6,1.21,21.5,3.08,0,0,21.46,11.89,7.19,0,132.33,0,0.56,2.92,0,0,326.84,0,0,0,0,17.8,0.66,1.63,2.08,0,8.92
 84-94,0,0,1408.43,0,0,45.54,0,44.3,0.61,5.24,3.71,0.8,1.42,30.6,1.91,0,0,10.47,24.9,1.14,0.96,38.86,0,2.15,0.58,0,0.6,839.95,0,0,0,0,1.36,3.17,0,1.82,0,1.04
 96-106,0,0,1169.87,5.23,0,41.05,1.54,71.74,0,9.93,0.76,0.88,2.84,43.97,1.64,4.62,0,11.24,27.07,0,3.23,93.01,0,9.1,0,0,0,550.32,0,0,0.84,0,0,3.2,1.2,0,0,0
108-118,0,0,658.3,3.01,1.82,30.33,1,23.75,0,5.15,2.5,0,0,25.97,0,0,0,13.87,4.35,0,0,68.04,0,8.84,0.51,0,0,307.55,0,0,0,0,0,1.61,0,2.23,1.13,2.22
120,0,0,558.16,1.79,0,21.02,0,21.91,6.83,21.61,2.9,0,0,22.95,2.64,1.4,0,19.84,20.71,0,2.57,138.4,0,1.7,7.34,0,0,355.94,0,0,0,0,0,0,0,0,0,0
