stage,axial,blastomeres,eye,glial,mesenchyme,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,9.67,220.82,0,0,0,0,0,24.55,0,0,0
  5-6,0,74.58,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,9.02,7.29,0,0,0,0
 10-12,0,0,0,0,0,0,7.09,0,0,0,0
 14-21,0,0,1.01,0,0,3.69,0,0,1.41,0,0
 24-34,0,0,0.82,0,0.92,0,0,0,0,0.61,0
 36-46,0,0,0,0,0.85,0,0,0,0,0,0.76
 60-70,0,0,0,0,0.67,0,0,0,0,0,0
108-118,0,0,0,1.83,0,0,0,0,0,0,0
