stage,epidermis,eye,fin.mesenchyme,glial,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord
 14-21,0,0,0,0,1.02,0.86,0.84,0,0
 24-34,2,0,0,0,0,0,0,0,0
 36-46,0,0.89,0,9.42,0,0.73,0,0,1.25
 48-58,0,2.18,0,0,0,3.64,0,0,0
 60-70,0,0,0,0.8,0,0,0,0,0
 72-82,0,0.92,0,0,0.52,0.63,0,0,0
 84-94,0,2.17,0,0,0,1.21,0,2.49,0
 96-106,0.6,2.73,0,0,0,3.31,0,0,0
108-118,0,0.91,3.75,0,0,2.55,0,0,0
