stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord
  3-4,22.66,219.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.48,0,0,0
  5-6,24.01,261.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.67,6.16,0,0,0
  7-9,0,4.19,3.93,0,0,0,0,0,0,0,0,0,0,0,0,52.84,0,0,0,9.17,0,6.03,0,0
 10-12,0,0,0,0,0,3.47,0,0,0,0,0,0,0,0,0,13.29,0,0,0,4.69,0,0,0,0
 14-21,0,0,0,1.7,0.96,0,0,0,0,0,0,0,0,1.74,0.84,9.25,1.69,0,0,0,0,0,0,3.47
 24-34,0,0,0.6,0,0,0,0,0.7,0,0,0,1.29,0,1.03,0,10.24,0,0,0,0,0,0,0,4.61
 36-46,0,0,0,0,0,2.72,0,0,0,0,0,0,0,0.9,0,13.3,0,0,0,0,0,0,0,1.03
 48-58,0,0,0,0,0,0.42,0,0,0,0,0,0.54,0,0.51,0,5.04,0,0.89,0,0,0,0,0,0.44
 60-70,0,0,0,0,0,5.02,0,0,0.72,0,0,0,0,0.9,0,2.71,0,0,0,0,0,0,0,6.71
 72-82,0,0,0,0,0,3.11,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.62,9.11,2.61,4.6,1.2,0,0,0,1.11,0,0,0,0,0,0,0,0,0.57,0
 96-106,0,0,0,0,5.52,1.33,0,0,0,0,0,0.65,0,1.68,0,6.74,0,0.83,0,0,1.92,0,0,0
108-118,0,0,0,0,0,0.81,1.58,0,0,0,1.34,0.57,0.43,1.69,0,1.8,0,0,0.52,0,0,0,0,0
120,0,0,0,2.9,0,0,0,0,0,0,0,1.78,0,0,0,13.5,0,0,0,0,4.99,0,0,0
