stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,11.75,1.94,11.02,2.14,4.72,0,0,0,3.22,0,0,0,0,0.96,0,0.93,0,3.21,0,0,0,16.21,0,0,0,0.86,0,3.94,0,2.01,0,1,51.82,0,0,0,0,0
 24-34,8.12,1.35,16.54,0.83,8.62,0,0,0,4.36,0,0,0,0,4.02,0,0,0,2.23,7.25,0,0.63,124.39,0.59,0,24.37,0,0,39.8,0,0,0,0,93.92,0,0,0,0,0.62
 36-46,7.19,0,5.98,0,17.14,0,1.38,0,4.19,0,0,0,0,2.02,0,0,0,11.1,16.66,0,0,226.32,0,1.32,34.13,0,0,36.92,0,0,0,0,108.52,0,0,0,0,8.59
 48-58,4.45,0,17.33,0,230.36,0,0,0,7.34,0,0,0,0,16.58,0,6.06,0,15.59,23.7,1.67,0.53,184.5,0,0,40.82,0,0,15.5,0,0,0,0,158.19,0,0,0,0,0
 60-70,2.36,0,18.65,0,1131.3,0,8.21,2.59,35.09,1.11,0,0,1.1,1.28,0,7.59,1.05,39.55,23.64,6.24,0,180.45,0,3.05,49.24,0,0,19.21,0,0,0,0,116.13,0.81,0,0,0,0
 72-82,10.67,0,9.97,0,1342.44,0.76,1.36,4.15,99.35,2.72,0,1.23,1.09,1.16,1.7,4.2,0,52.13,15.79,0,8.27,225.11,0,1.45,79.42,0,0,6.46,0,0,8.92,0,49.15,0,0.85,8.07,2.14,4.86
 84-94,25.47,0,21.22,8.18,651.42,0,0.74,3.55,47.52,5.29,3.1,0,0,0,0.94,5.56,0,44.79,33.55,3.82,0,170.62,0,8.55,88.84,0,0,35.15,0,0,0,0,31.67,1.69,1.78,0,0,0
 96-106,27.7,0,32.24,0,848.16,10.06,0,3.14,69.88,6.81,0,0,1.35,0,1.39,16.55,7.59,26.24,48.18,1.41,0,161.56,0,11.55,107.65,0,2.83,16.49,1.35,0,0,0,16.43,5.54,2.38,5.61,2.34,1.56
108-118,5.03,0,22.74,0,587.93,0,2.04,2.65,54.57,5.53,0,0,0.75,0.93,4.26,2.1,0,51.11,22.52,0,4.43,174.37,0.5,8.53,106.47,0,1.35,11.13,0,0,0.66,0,3.86,8.71,3.92,0,0,4.66
120,8.09,0,49.44,0,270.8,0,1.35,0,103.27,5.49,0,0,1.99,0,0,4.16,0,143.01,1.12,0,4.49,277.39,0,7.37,70.38,0,0,32.75,0,0,0,0,3.5,0,2.41,2.22,3.77,0
